Regulator,Target,Weight
Q02790,P07339,0.417
Q02790,P07339,0.417
Q02790,P23284,0.447
Q02790,P23284,0.447
Q02790,P22061,0.489
Q02790,P22061,0.489
Q02790,Q9NZM1,0.645
Q02790,Q9NZM1,0.645
Q02790,P13667,0.653
Q02790,P13667,0.653
P14174,P22061,0.679
P14174,P22061,0.679
P14174,P17174,0.91
P14174,P17174,0.91
P14866,Q99460,0.417
P14866,Q99460,0.417
P14866,Q9Y2W1,0.548
P14866,Q9Y2W1,0.548
P14866,Q92804,0.946
P14866,Q92804,0.946
P14866,Q16629,0.947
P14866,Q16629,0.947
P31949,P60903,0.611
P31949,P60903,0.611
P13667,P23284,0.987
P13667,P23284,0.987
Q99460,Q9UMX0,0.459
Q99460,Q9UMX0,0.459
Q99460,P62854,0.63
Q99460,P62854,0.63
Q99460,P62888,0.637
Q99460,P62888,0.637
Q99460,O00232,0.999
Q99460,O00232,0.999
Q99460,Q13200,0.999
Q99460,Q13200,0.999
Q13200,Q16629,0.512
Q13200,Q16629,0.512
Q13200,P62888,0.622
Q13200,P62888,0.622
Q13200,P62854,0.656
Q13200,P62854,0.656
Q13200,Q9UMX0,0.926
Q13200,Q9UMX0,0.926
Q13200,O00232,0.999
Q13200,O00232,0.999
Q16629,Q92804,0.762
Q16629,Q92804,0.762
Q99613,O00232,0.614
Q99613,O00232,0.614
Q99613,P62854,0.982
Q99613,P62854,0.982
O00232,P62888,0.436
O00232,P62888,0.436
O00232,P62854,0.506
O00232,P62854,0.506
O00232,Q9UMX0,0.7
O00232,Q9UMX0,0.7
P62854,Q9UMX0,0.485
P62854,Q9UMX0,0.485
P62854,P62888,0.999
P62854,P62888,0.999
Q9NZM1,P60903,0.435
Q9NZM1,P60903,0.435
Q9UMX0,P62888,0.482
Q9UMX0,P62888,0.482
P05783,P05787,0.995
P05783,P05787,0.995
