Regulator,Target,Weight
P14174,P62917,0.576
P14174,P62917,0.576
Q15459,P49756,0.991
Q15459,P49756,0.991
Q7Z417,Q07866,0.482
Q7Z417,Q07866,0.482
Q7Z417,P62888,0.721
Q7Z417,P62888,0.721
Q7Z417,P62854,0.723
Q7Z417,P62854,0.723
Q7Z417,P62917,0.73
Q7Z417,P62917,0.73
Q7Z417,Q9UN86,0.8
Q7Z417,Q9UN86,0.8
P63208,P61981,0.851
P63208,P61981,0.851
P51911,P06753,0.447
P51911,P06753,0.447
P51911,Q01995,0.665
P51911,Q01995,0.665
P51911,Q05682,0.695
P51911,Q05682,0.695
P49756,Q14011,0.555
P49756,Q14011,0.555
P56192,P09104,0.443
P56192,P09104,0.443
P56192,P62888,0.453
P56192,P62888,0.453
P56192,P62917,0.498
P56192,P62917,0.498
P56192,P27635,0.601
P56192,P27635,0.601
P56192,P68104,0.771
P56192,P68104,0.771
P56192,Q99613,0.892
P56192,Q99613,0.892
P62917,Q99613,0.581
P62917,Q99613,0.581
P62917,P68104,0.99
P62917,P68104,0.99
P62917,P46778,0.999
P62917,P46778,0.999
P62917,P27635,0.999
P62917,P27635,0.999
P62917,P62888,0.999
P62917,P62888,0.999
P62917,P62854,0.999
P62917,P62854,0.999
Q99439,Q05682,0.722
Q99439,Q05682,0.722
P49023,P09936,0.46
P49023,P09936,0.46
P49023,P06753,0.677
P49023,P06753,0.677
P49023,Q05682,0.75
P49023,Q05682,0.75
P49023,P05556,0.998
P49023,P05556,0.998
P31949,P60903,0.611
P31949,P60903,0.611
P09936,P09104,0.731
P09936,P09104,0.731
P09936,P15374,0.904
P09936,P15374,0.904
P61981,Q16181,0.422
P61981,Q16181,0.422
P05976,Q05682,0.425
P05976,Q05682,0.425
P05976,P06753,0.867
P05976,P06753,0.867
P37837,P09104,0.894
P37837,P09104,0.894
Q99613,P46778,0.474
Q99613,P46778,0.474
Q99613,P27635,0.522
Q99613,P27635,0.522
Q99613,P62854,0.982
Q99613,P62854,0.982
P68104,P09104,0.535
P68104,P09104,0.535
P68104,Q9Y5S9,0.627
P68104,Q9Y5S9,0.627
P68104,P46778,0.955
P68104,P46778,0.955
P68104,P62854,0.963
P68104,P62854,0.963
P68104,P27635,0.979
P68104,P27635,0.979
P68104,P62888,0.985
P68104,P62888,0.985
Q14195,Q96HC4,0.568
Q14195,Q96HC4,0.568
P46778,P62888,0.999
P46778,P62888,0.999
P46778,P62854,0.999
P46778,P62854,0.999
P46778,P27635,0.999
P46778,P27635,0.999
P62854,P27635,0.999
P62854,P27635,0.999
P62854,P62888,0.999
P62854,P62888,0.999
P27816,Q16181,0.471
P27816,Q16181,0.471
Q05682,P09104,0.406
Q05682,P09104,0.406
Q05682,Q8WX93,0.503
Q05682,Q8WX93,0.503
Q05682,Q01995,0.761
Q05682,Q01995,0.761
Q05682,P06753,0.761
Q05682,P06753,0.761
P06753,O15143,0.405
P06753,O15143,0.405
P60903,Q01995,0.661
P60903,Q01995,0.661
P15374,P09104,0.459
P15374,P09104,0.459
P15374,Q01995,0.624
P15374,Q01995,0.624
P05556,P05787,0.437
P05556,P05787,0.437
P27635,P62888,0.999
P27635,P62888,0.999
Q01995,P09104,0.699
Q01995,P09104,0.699
P09104,P05787,0.56
P09104,P05787,0.56
Q9Y5S9,Q14011,0.489
Q9Y5S9,Q14011,0.489
