,Regulator,Target,Weight,Sign
0,O94925,P00568,0.015468497652742219,
1,O94925,P04179,0.01050746052571935,
2,O94925,P06753,0.001598036289912499,
3,O94925,P07339,0.00017179728752360614,
4,O94925,P12956,0.010854088494775262,
5,O94925,P13010,0.024818552220734397,
6,O94925,P15374,0.0051864066424560165,
7,O94925,P18859,0.006754557791284477,
8,O94925,P21281,0.00024943858192664483,
9,O94925,P23246,0.012509354804975748,
10,O94925,P26022,0.04372041540652813,
11,O94925,P27816,0.015465508991456704,
12,O94925,P30048,0.011194460528265142,
13,O94925,P30085,0.007209192103671379,
14,O94925,P35222,0.017387569555983275,
15,O94925,P38606,0.0006373726426415409,
16,O94925,P42765,0.00017866232636584275,
17,O94925,P46379,0.005201172046319297,
18,O94925,P49756,0.008771527418567314,
19,O94925,P53621,0.004007203777068604,
20,O94925,P61981,0.010526662370475838,
21,O94925,P62328,0.0158493227794879,
22,O94925,P62854,0.005391297221447227,
23,O94925,P62906,0.005344238546943524,
24,O94925,P62913,0.0072508696240936345,
25,O94925,P81644,0.008539324130701067,
26,O94925,Q01995,0.0009305916308279905,
27,O94925,Q02218,0.006164382308990492,
28,O94925,Q02818,0.03658147914369139,
29,O94925,Q07065,0.007762446083103942,
30,O94925,Q07866,0.03006157811700177,
31,O94925,Q07954,0.00040776738588263445,
32,O94925,Q13162,0.00024970468694507337,
33,O94925,Q13263,0.014474614569743575,
34,O94925,Q14011,0.012441863030665544,
35,O94925,Q14444,0.010655270181233144,
36,O94925,Q15233,0.014033654159829219,
37,O94925,Q15459,0.03245336086863029,
38,O94925,Q15843,7.103516949454691e-05,
39,O94925,Q16629,0.0060709718683978784,
40,O94925,Q7Z417,0.0012778146317909266,
41,O94925,Q96HC4,0.004445267490854971,
42,O94925,Q96KR1,0.007411662806456569,
43,O94925,Q9UHD8,0.012678022813657916,
44,O94925,Q9UJZ1,0.0002828928041266443,
45,O94925,Q9UMS6,0.01763213612945697,
46,O94925,Q9UNH7,0.007230673744495653,
47,P00568,O94925,5.177071317483288e-06,
48,P00568,P04179,0.004788526946516368,
49,P00568,P06753,0.00012873725158466092,
50,P00568,P07339,0.006282974238203684,
51,P00568,P12956,0.016622738832120298,
52,P00568,P13010,0.02647363394248037,
53,P00568,P15374,0.012680164047995933,
54,P00568,P18859,0.0065880370594857685,
55,P00568,P21281,0.008157111251943008,
56,P00568,P23246,0.018474829050293864,
57,P00568,P26022,0.01713316019122854,
58,P00568,P27816,0.005585569507317001,
59,P00568,P30048,0.00877570341473582,
60,P00568,P30085,0.00037656997375374863,
61,P00568,P35222,0.00011799353718776723,
62,P00568,P38606,0.005421520778994011,
63,P00568,P42765,0.006980319243517059,
64,P00568,P46379,0.01663011451802594,
65,P00568,P49756,0.006263970337432174,
66,P00568,P53621,0.008886648914245043,
67,P00568,P61981,0.006398689855653668,
68,P00568,P62328,0.004190655415891251,
69,P00568,P62854,0.0038904111318116196,
70,P00568,P62906,0.006186241091162078,
71,P00568,P62913,0.012239958328405806,
72,P00568,P81644,0.038520005158481085,
73,P00568,Q01995,0.006784600646340793,
74,P00568,Q02218,0.0019386756669845717,
75,P00568,Q02818,0.0011175982889783755,
76,P00568,Q07065,0.021430694238669157,
77,P00568,Q07866,0.009338546376175838,
78,P00568,Q07954,0.0041852218472603776,
79,P00568,Q13162,0.004464976506622483,
80,P00568,Q13263,0.014556096272388054,
81,P00568,Q14011,0.006778946435722894,
82,P00568,Q14444,0.004978970375387946,
83,P00568,Q15233,0.0016380672418191058,
84,P00568,Q15459,0.009128196868042143,
85,P00568,Q15843,0.006643039304754398,
86,P00568,Q16629,0.0002965804327261365,
87,P00568,Q7Z417,0.039057517005136065,
88,P00568,Q96HC4,0.005232342633627166,
89,P00568,Q96KR1,0.006428899178772449,
90,P00568,Q9UHD8,0.02566395227094836,
91,P00568,Q9UJZ1,0.0009089365643892705,
92,P00568,Q9UMS6,0.00040048931191132107,
93,P00568,Q9UNH7,0.0011697955359409708,
94,P04179,O94925,0.018580078808618176,
95,P04179,P00568,0.0009084951109974748,
96,P04179,P06753,0.00031523663443340136,
97,P04179,P07339,0.015603472337897016,
98,P04179,P12956,0.014761058778683247,
99,P04179,P13010,0.0075016257922742614,
100,P04179,P15374,0.0017215764702157074,
101,P04179,P18859,0.012176854706150987,
102,P04179,P21281,0.005544162724102443,
103,P04179,P23246,0.007059485053489492,
104,P04179,P26022,0.015383235960950427,
105,P04179,P27816,0.003027702683175896,
106,P04179,P30048,0.00045079587849081187,
107,P04179,P30085,0.011407785915569764,
108,P04179,P35222,0.009219865429994742,
109,P04179,P38606,0.0,
110,P04179,P42765,0.007343509986475379,
111,P04179,P46379,0.0048340789075179995,
112,P04179,P49756,0.0008108231942043954,
113,P04179,P53621,0.02419199779580465,
114,P04179,P61981,0.005382086549640346,
115,P04179,P62328,0.007806663983918907,
116,P04179,P62854,0.00039787454024461114,
117,P04179,P62906,0.008350794781864372,
118,P04179,P62913,0.0,
119,P04179,P81644,0.02310154538751205,
120,P04179,Q01995,0.001672664193332377,
121,P04179,Q02218,0.02472648664170052,
122,P04179,Q02818,0.043178370712616036,
123,P04179,Q07065,0.0,
124,P04179,Q07866,0.0002967454340107349,
125,P04179,Q07954,0.0017645437938185232,
126,P04179,Q13162,0.00046894790715754005,
127,P04179,Q13263,0.00947163457268027,
128,P04179,Q14011,0.004703832671265839,
129,P04179,Q14444,0.018302475973845406,
130,P04179,Q15233,0.020752622542062307,
131,P04179,Q15459,0.009171181613435136,
132,P04179,Q15843,0.009049620505028227,
133,P04179,Q16629,0.013722724704284981,
134,P04179,Q7Z417,0.006753582000133285,
135,P04179,Q96HC4,0.0004886942570340787,
136,P04179,Q96KR1,0.001249845431134002,
137,P04179,Q9UHD8,0.008672384905132374,
138,P04179,Q9UJZ1,0.0037159295015976365,
139,P04179,Q9UMS6,0.002188610534893648,
140,P04179,Q9UNH7,0.02101065211732166,
141,P06753,O94925,0.0002747055922496187,
142,P06753,P00568,0.005276413137065882,
143,P06753,P04179,0.008352869212738192,
144,P06753,P07339,0.01943671335994601,
145,P06753,P12956,0.0047875045241707005,
146,P06753,P13010,0.0038520545570169475,
147,P06753,P15374,0.005536358924858742,
148,P06753,P18859,0.0017654896374636247,
149,P06753,P21281,0.0011494482865902279,
150,P06753,P23246,0.015095558973388799,
151,P06753,P26022,0.015883610127887016,
152,P06753,P27816,0.0,
153,P06753,P30048,0.007943756104546422,
154,P06753,P30085,0.045996731665539185,
155,P06753,P35222,0.001598156391564535,
156,P06753,P38606,0.006513414747161733,
157,P06753,P42765,0.007408644544729498,
158,P06753,P46379,0.01005965394785931,
159,P06753,P49756,0.004198292782515889,
160,P06753,P53621,0.0008025196830468958,
161,P06753,P61981,0.005044914161885596,
162,P06753,P62328,0.012689349246397004,
163,P06753,P62854,0.0009259740501333506,
164,P06753,P62906,0.0024524157947264894,
165,P06753,P62913,0.007047075743996476,
166,P06753,P81644,0.0,
167,P06753,Q01995,0.006503128770171492,
168,P06753,Q02218,0.015925560563804068,
169,P06753,Q02818,0.002677990802237347,
170,P06753,Q07065,0.06960742676565282,
171,P06753,Q07866,0.012878760668331742,
172,P06753,Q07954,0.004031936272554623,
173,P06753,Q13162,0.07742279211305676,
174,P06753,Q13263,0.012032896239140278,
175,P06753,Q14011,0.004597184631248583,
176,P06753,Q14444,0.010975132089506687,
177,P06753,Q15233,0.004575007090247602,
178,P06753,Q15459,0.007874859616313835,
179,P06753,Q15843,0.002322470981434939,
180,P06753,Q16629,0.003699751106439595,
181,P06753,Q7Z417,0.00473272395271701,
182,P06753,Q96HC4,0.021555986928861678,
183,P06753,Q96KR1,0.002935176834822132,
184,P06753,Q9UHD8,0.011680176431041751,
185,P06753,Q9UJZ1,0.08593311620669875,
186,P06753,Q9UMS6,0.001664898924156942,
187,P06753,Q9UNH7,0.0020411532248546726,
188,P07339,O94925,0.0,
189,P07339,P00568,3.541155583488377e-05,
190,P07339,P04179,0.022338693927299216,
191,P07339,P06753,0.004511712547229053,
192,P07339,P12956,0.0007386936601977271,
193,P07339,P13010,0.000282238687762351,
194,P07339,P15374,0.01251120676056051,
195,P07339,P18859,0.008203646195373308,
196,P07339,P21281,0.04286922138030747,
197,P07339,P23246,0.01286635108421744,
198,P07339,P26022,0.0,
199,P07339,P27816,0.00486136573417476,
200,P07339,P30048,0.036177261144038124,
201,P07339,P30085,0.018162359060322698,
202,P07339,P35222,0.010505739659356077,
