Regulator,Target,distance_score,Difference
ITGB1,MYL1,0.5939367046372348,0.391617939828887
MYL1,MYL9,0.6544107449426206,0.4179861308448149
MYL1,RPL29,0.6753299607026528,0.6050850539646202
MYL1,CKAP4,0.6754737504421224,0.6656583622941141
PEPD,MYL1,0.7009692217630635,0.3797126179294591
PEPD,SF3A1,0.483505091669679,0.4309649918891457
RPL17,RPL29,0.5721820840335425,0.4203696228858367
RPL17,EIF3E,0.2960415543707297,0.3340348915528668
RPL17,LRP1,0.412278099774364,0.3096222513610456
RPL17,DDX17,0.2944673121058134,0.3245830611572013
RPL17,H2BC14,0.454353381411126,0.2989033091031534
RPL17,AKAP2,0.3140944950764384,0.3290384793633847
MYL9,MYL1,0.6588940359193977,0.5734492252224848
RPL29,MYL1,0.6910072937572016,0.5689579271613079
RPL29,RPL17,0.5772149412656049,0.358613098719541
EIF3E,RPL17,0.2910305114245668,0.3614940607043434
EIF3E,RPL17,0.2910305114245668,0.3614940607043434
EIF3E,RPL29,0.6016078254678286,0.3673928887450326
EIF3E,FKBP4,0.3010457072469032,0.3757264950633911
EIF3E,UBAP2L,0.3700166010765233,0.3674163089706657
EIF3E,SF3A1,0.5093290035602143,0.3698036385920478
EIF3E,SF3A1,0.5093290035602143,0.3698036385920478
EIF3E,DDX17,0.3256547158724074,0.5265880857688805
EIF3E,H2BC14,0.3909642693198298,0.4394810575380072
EIF3E,AKAP2,0.3282729443042683,0.4333919413004374
S100A10,SF3A1,0.4283798648279708,0.3136978289854566
CKAP4,MYL1,0.6731784118671105,0.8105368336149819
SF3A1,PEPD,0.5017792862861812,0.4903765375674767
SF3A1,ACO1,0.5580551884933044,0.4530381307757899
SF3A1,SMARCE1,0.4354973092559722,0.4010655989832329
HDGFL2,SF3A1,0.6063423640383386,0.2857238543290645
SMARCE1,SF3A1,0.4383083485023818,0.4633338413816956
