,Regulator,Target,Weight,Sign
0,O15143,O94925,0.01565889800670798,
1,O15143,P02652,0.01987556201770796,
2,O15143,P04179,0.0031878556535335093,
3,O15143,P12956,0.0089398818835872,
4,O15143,P18859,0.00027819908623465144,
5,O15143,P21281,0.020379968385317204,
6,O15143,P26022,0.014533666165284492,
7,O15143,P26447,0.008047193115215111,
8,O15143,P30085,0.005662311872494687,
9,O15143,P35222,0.0005847136443959134,
10,O15143,P36957,0.014678258513256109,
11,O15143,P38606,0.028222554154196472,
12,O15143,P40926,0.0008642878325708144,
13,O15143,P42765,0.010043855650163948,
14,O15143,P56192,0.0074525886888845054,
15,O15143,P61981,0.0013665212206622505,
16,O15143,P62854,0.00835225470493673,
17,O15143,P62917,0.009486662365019233,
18,O15143,Q02218,0.010787182011322604,
19,O15143,Q02818,0.0005943167956608312,
20,O15143,Q07065,0.006626627134604003,
21,O15143,Q07866,0.005104211214781565,
22,O15143,Q07954,0.009358629901192067,
23,O15143,Q13162,0.007716491579949387,
24,O15143,Q14011,0.01635757458416382,
25,O15143,Q15459,0.001636584947751628,
26,O15143,Q15843,0.0021059447053685854,
27,O15143,Q96L92,0.014776484130014995,
28,O15143,Q9H0U4,0.014438216313639533,
29,O15143,Q9UHD8,0.015457042145160894,
30,O15143,Q9UJZ1,0.018476109482634565,
31,O15143,Q9UNH7,0.003771740915238714,
32,O15143,Q9Y3D6,0.00800442944173694,
33,O94925,O15143,0.012550738870183112,
34,O94925,P02652,0.01983318440916082,
35,O94925,P04179,0.019635261744840534,
36,O94925,P12956,0.010484514400707894,
37,O94925,P18859,0.009075314922748427,
38,O94925,P21281,0.027513255280993718,
39,O94925,P26022,0.03478284826404872,
40,O94925,P26447,0.018550167787266973,
41,O94925,P30085,0.031575644194251115,
42,O94925,P35222,0.0013321782314444993,
43,O94925,P36957,0.007013086597016454,
44,O94925,P38606,0.01854538864817973,
45,O94925,P40926,0.02213079951824488,
46,O94925,P42765,0.04348987842181227,
47,O94925,P56192,0.03172531803952584,
48,O94925,P61981,0.01532755655153725,
49,O94925,P62854,0.02801490015803458,
50,O94925,P62917,0.00013107770483217844,
51,O94925,Q02218,0.00929441408767837,
52,O94925,Q02818,0.007515742296024925,
53,O94925,Q07065,0.0316022879133694,
54,O94925,Q07866,0.002318910710471089,
55,O94925,Q07954,0.008114539883747784,
56,O94925,Q13162,0.009080517563115412,
57,O94925,Q14011,0.026821585931369275,
58,O94925,Q15459,0.03225880738828656,
59,O94925,Q15843,0.017356951457514046,
60,O94925,Q96L92,0.025847225007205217,
61,O94925,Q9H0U4,0.005834962009389197,
62,O94925,Q9UHD8,0.015816739111867453,
63,O94925,Q9UJZ1,0.05158480053450213,
64,O94925,Q9UNH7,0.01670720051912584,
65,O94925,Q9Y3D6,0.020993370576060235,
66,P02652,O15143,0.03336986349816639,
67,P02652,O94925,0.0011920969958710472,
68,P02652,P04179,0.02034439822232591,
69,P02652,P12956,0.0036969631123621024,
70,P02652,P18859,0.006181170443365246,
71,P02652,P21281,0.026153409169607282,
72,P02652,P26022,0.05028621005754063,
73,P02652,P26447,0.004100263640426163,
74,P02652,P30085,0.009884724779963031,
75,P02652,P35222,0.027314403664187106,
76,P02652,P36957,0.018146866395006248,
77,P02652,P38606,0.012734684132826055,
78,P02652,P40926,0.05585550164068673,
79,P02652,P42765,0.021563763442899703,
80,P02652,P56192,0.013354273684521344,
81,P02652,P61981,0.0482663593391806,
82,P02652,P62854,0.0046679130835802106,
83,P02652,P62917,0.0002918283080980956,
84,P02652,Q02218,0.037445880003793085,
85,P02652,Q02818,0.027582710249979117,
86,P02652,Q07065,0.005309017549403459,
87,P02652,Q07866,0.007751646362820959,
88,P02652,Q07954,0.019009003265858228,
89,P02652,Q13162,0.02732090831840935,
90,P02652,Q14011,0.0053901183932571215,
91,P02652,Q15459,0.011110209486584923,
92,P02652,Q15843,0.00938182361621136,
93,P02652,Q96L92,0.06714541248678575,
94,P02652,Q9H0U4,0.10021508253993469,
95,P02652,Q9UHD8,0.010092473210891455,
96,P02652,Q9UJZ1,0.05088250284953451,
97,P02652,Q9UNH7,0.029770098156333805,
98,P02652,Q9Y3D6,0.055417254860757194,
99,P04179,O15143,0.019592069359291572,
100,P04179,O94925,0.0021920330718367305,
101,P04179,P02652,0.024480300869717104,
102,P04179,P12956,0.02479904939123517,
103,P04179,P18859,0.05084542457806521,
104,P04179,P21281,0.04787680978481303,
105,P04179,P26022,0.007216318162645682,
106,P04179,P26447,0.021509162748805783,
107,P04179,P30085,0.013840416296380303,
108,P04179,P35222,0.019750576618056574,
109,P04179,P36957,0.008237111613214637,
110,P04179,P38606,0.011973398366061221,
111,P04179,P40926,0.01853889879744595,
112,P04179,P42765,0.06754216202231868,
113,P04179,P56192,0.011935259908983229,
114,P04179,P61981,0.009096058195494689,
115,P04179,P62854,0.020346131193753038,
116,P04179,P62917,0.03562552479219959,
117,P04179,Q02218,0.013570474663689611,
118,P04179,Q02818,0.03458937026886276,
119,P04179,Q07065,0.024153356626323733,
120,P04179,Q07866,0.01464583971465655,
121,P04179,Q07954,0.016486294864840885,
122,P04179,Q13162,0.06825945332698778,
123,P04179,Q14011,0.01584066479690767,
124,P04179,Q15459,0.0006437845608492183,
125,P04179,Q15843,0.02430921095289384,
126,P04179,Q96L92,0.023060258917127083,
127,P04179,Q9H0U4,0.11176034516970797,
128,P04179,Q9UHD8,0.027177994654023038,
129,P04179,Q9UJZ1,0.042774434419893016,
130,P04179,Q9UNH7,0.015352404493166445,
131,P04179,Q9Y3D6,0.02969655613285461,
132,P12956,O15143,0.03718657678793886,
133,P12956,O94925,0.01725213176977561,
134,P12956,P02652,0.01340954454100467,
135,P12956,P04179,0.019767974750211078,
136,P12956,P18859,0.016292753074997605,
137,P12956,P21281,0.03532178503359515,
138,P12956,P26022,0.05570829441293139,
139,P12956,P26447,0.007356267985984732,
140,P12956,P30085,0.01781832860682851,
141,P12956,P35222,0.024528959874332366,
142,P12956,P36957,0.003740800137054414,
143,P12956,P38606,0.026266985876393107,
144,P12956,P40926,0.03037877236966246,
145,P12956,P42765,0.06812869763950374,
146,P12956,P56192,0.017418882160360773,
147,P12956,P61981,0.04831275352391452,
148,P12956,P62854,0.02264963649206129,
149,P12956,P62917,0.010247621258363026,
150,P12956,Q02218,0.029008917356534655,
151,P12956,Q02818,0.036063614981404694,
152,P12956,Q07065,0.011004538918914666,
153,P12956,Q07866,0.01204376467032196,
154,P12956,Q07954,0.001106161427482761,
155,P12956,Q13162,0.030901482242372238,
156,P12956,Q14011,0.01117714678560313,
157,P12956,Q15459,0.026432647854743686,
158,P12956,Q15843,0.02404981377231488,
159,P12956,Q96L92,0.05194074454639839,
160,P12956,Q9H0U4,0.033793572277395836,
161,P12956,Q9UHD8,0.02645546390252085,
162,P12956,Q9UJZ1,0.0058537910530888455,
163,P12956,Q9UNH7,0.022847967097208977,
164,P12956,Q9Y3D6,0.040115372054663,
165,P18859,O15143,0.00126504104737027,
166,P18859,O94925,0.017599980034667513,
167,P18859,P02652,0.014352609510627586,
168,P18859,P04179,0.010770232631746961,
169,P18859,P12956,0.001230520356409681,
170,P18859,P21281,0.029360191502131698,
171,P18859,P26022,0.020252147264150908,
172,P18859,P26447,0.012535714212016913,
173,P18859,P30085,0.0047761674929949795,
174,P18859,P35222,0.003335831516487333,
175,P18859,P36957,0.013266957456192106,
176,P18859,P38606,0.01734122116965417,
177,P18859,P40926,0.012401919154039476,
178,P18859,P42765,0.003005625938336633,
179,P18859,P56192,0.0017467574588574451,
180,P18859,P61981,0.00794906954534131,
181,P18859,P62854,0.0027220562760494186,
182,P18859,P62917,0.005394854632720769,
183,P18859,Q02218,0.029389559311160975,
184,P18859,Q02818,0.014569659378983342,
185,P18859,Q07065,0.009358912607799119,
186,P18859,Q07866,0.019723580978003443,
187,P18859,Q07954,0.0007492419420952189,
188,P18859,Q13162,0.006402091303689469,
189,P18859,Q14011,0.02774735286950856,
190,P18859,Q15459,0.011548326563695857,
191,P18859,Q15843,0.00600056725785378,
192,P18859,Q96L92,0.003936522374554487,
193,P18859,Q9H0U4,0.0356854204534016,
194,P18859,Q9UHD8,0.0092092973471638,
195,P18859,Q9UJZ1,0.015996056544010255,
196,P18859,Q9UNH7,0.009506095790905614,
197,P18859,Q9Y3D6,0.03121588332007331,
198,P21281,O15143,0.019136752103907917,
199,P21281,O94925,0.006179526683110923,
200,P21281,P02652,0.02846953882316264,
201,P21281,P04179,0.007712554271119028,
202,P21281,P12956,0.001037145049399681,
203,P21281,P18859,0.0002913766721904222,
204,P21281,P26022,0.030941515864211545,
205,P21281,P26447,0.018142064142491653,
206,P21281,P30085,0.021879987595433224,
207,P21281,P35222,0.015105223703025045,
208,P21281,P36957,0.012617775936274883,
209,P21281,P38606,0.03541079167343188,
210,P21281,P40926,0.022163887647504973,
211,P21281,P42765,0.009252816040225374,
212,P21281,P56192,0.013806903933235682,
213,P21281,P61981,0.018765873559530275,
214,P21281,P62854,0.01695605451873058,
215,P21281,P62917,0.0026112690626114345,
216,P21281,Q02218,0.0234285971743773,
217,P21281,Q02818,0.003966991447177611,
218,P21281,Q07065,0.019758309116344335,
219,P21281,Q07866,0.0032603322483308,
220,P21281,Q07954,0.0018067555720373155,
221,P21281,Q13162,0.023920893344516768,
222,P21281,Q14011,0.0223497442061226,
223,P21281,Q15459,0.008072398673297388,
224,P21281,Q15843,0.015274986909792768,
225,P21281,Q96L92,0.029090692703806004,
226,P21281,Q9H0U4,0.00549741054996805,
227,P21281,Q9UHD8,0.0020680389070017306,
228,P21281,Q9UJZ1,0.01134623032114017,
229,P21281,Q9UNH7,0.002183248120836433,
230,P21281,Q9Y3D6,0.016278385327491728,
231,P26022,O15143,0.01781709132083223,
232,P26022,O94925,0.009045520607151235,
233,P26022,P02652,0.003282663195103499,
234,P26022,P04179,0.004294904936664653,
235,P26022,P12956,0.0014215702484195417,
236,P26022,P18859,0.023403495097904396,
237,P26022,P21281,0.01676803243959016,
238,P26022,P26447,0.027857456829185997,
239,P26022,P30085,0.01047235919286899,
240,P26022,P35222,0.004501379565615166,
241,P26022,P36957,0.007080487576360433,
242,P26022,P38606,0.019755832634376812,
243,P26022,P40926,0.0184540597676206,
244,P26022,P42765,0.015635049373610686,
245,P26022,P56192,0.005528863342922709,
246,P26022,P61981,0.025848594602212716,
247,P26022,P62854,0.009847913371366717,
248,P26022,P62917,0.00026922815910393445,
249,P26022,Q02218,0.0051424122280394,
250,P26022,Q02818,0.006963765599962367,
251,P26022,Q07065,0.015463653799471849,
252,P26022,Q07866,0.025873334953811746,
253,P26022,Q07954,0.0018024529091654326,
254,P26022,Q13162,0.00675271082392908,
255,P26022,Q14011,0.021980421821047945,
256,P26022,Q15459,0.013408653036935017,
257,P26022,Q15843,0.0031122168188266698,
258,P26022,Q96L92,0.011642204475433102,
259,P26022,Q9H0U4,0.039452560795212185,
260,P26022,Q9UHD8,0.010036866141201582,
261,P26022,Q9UJZ1,0.016979319425014003,
262,P26022,Q9UNH7,0.007824826144884223,
263,P26022,Q9Y3D6,0.04464686936450154,
264,P26447,O15143,0.01908968149232082,
265,P26447,O94925,0.0008517284228071072,
266,P26447,P02652,0.004907550111786691,
267,P26447,P04179,0.022750308269599877,
268,P26447,P12956,0.00047488939055472906,
269,P26447,P18859,0.014565317390007035,
270,P26447,P21281,0.006057016209262454,
271,P26447,P26022,0.005926879536319395,
272,P26447,P30085,0.01750606081382457,
273,P26447,P35222,0.028503742825791396,
274,P26447,P36957,0.006183289873215728,
275,P26447,P38606,0.02164993424644302,
276,P26447,P40926,0.006826020111703381,
277,P26447,P42765,0.025567271208633453,
278,P26447,P56192,0.029971353807615994,
279,P26447,P61981,0.008096327507382216,
280,P26447,P62854,0.0018391000497213544,
281,P26447,P62917,0.003916047408338563,
282,P26447,Q02218,0.01908267070968055,
283,P26447,Q02818,0.004943931625041939,
284,P26447,Q07065,0.022470499447516355,
285,P26447,Q07866,0.010308033698161348,
286,P26447,Q07954,0.0050630413189401485,
287,P26447,Q13162,0.0370758241567832,
288,P26447,Q14011,0.0011861808395745889,
289,P26447,Q15459,0.013399231302422099,
290,P26447,Q15843,0.00958277000375267,
291,P26447,Q96L92,0.00020119861758154825,
292,P26447,Q9H0U4,0.009632720345966852,
293,P26447,Q9UHD8,0.0007771918463579597,
294,P26447,Q9UJZ1,0.007293517647176565,
295,P26447,Q9UNH7,0.018718349314060967,
296,P26447,Q9Y3D6,0.016256280744759474,
297,P30085,O15143,0.0024902539386157823,
298,P30085,O94925,0.0006285467470377797,
299,P30085,P02652,0.013438782462455081,
300,P30085,P04179,0.012367515989157937,
301,P30085,P12956,0.004713054240846507,
302,P30085,P18859,0.006432727429867257,
303,P30085,P21281,0.00968567250119342,
304,P30085,P26022,0.015311951041781326,
305,P30085,P26447,0.012586050816072288,
306,P30085,P35222,0.014913800934798965,
307,P30085,P36957,0.0038532877890423097,
308,P30085,P38606,0.009171449800785386,
309,P30085,P40926,0.020692714378930447,
310,P30085,P42765,4.608549691026573e-05,
311,P30085,P56192,0.01967200157372738,
312,P30085,P61981,0.0103040146577294,
313,P30085,P62854,0.00236305277300736,
314,P30085,P62917,0.0013141621720576674,
315,P30085,Q02218,0.014055732402032358,
316,P30085,Q02818,0.007474372401796085,
317,P30085,Q07065,0.02197190084108591,
318,P30085,Q07866,0.0012411160614204182,
319,P30085,Q07954,0.003020108910896378,
320,P30085,Q13162,0.027838600311020548,
321,P30085,Q14011,0.009991293591808129,
322,P30085,Q15459,0.006589110021202578,
323,P30085,Q15843,0.005354915618208314,
324,P30085,Q96L92,0.020721254682558858,
325,P30085,Q9H0U4,0.013773273784000194,
326,P30085,Q9UHD8,0.003760984614390147,
327,P30085,Q9UJZ1,0.013700204661914482,
328,P30085,Q9UNH7,0.006522311289083629,
329,P30085,Q9Y3D6,0.007402412098409903,
330,P35222,O15143,0.0162760013080722,
331,P35222,O94925,0.017535044840654945,
332,P35222,P02652,0.00941601363699895,
333,P35222,P04179,0.016968170115884057,
334,P35222,P12956,0.005547961240750672,
335,P35222,P18859,0.016552424561009915,
336,P35222,P21281,0.010856211441627434,
337,P35222,P26022,0.012721344441512985,
338,P35222,P26447,0.008445963806678879,
339,P35222,P30085,0.004337206685333985,
340,P35222,P36957,0.0028918027263585343,
341,P35222,P38606,0.01433790311640113,
342,P35222,P40926,0.005147995470127265,
343,P35222,P42765,0.03062014627871124,
344,P35222,P56192,0.00043328058375243156,
345,P35222,P61981,0.011505389587150614,
346,P35222,P62854,0.010778282295136221,
347,P35222,P62917,0.0013519118358569589,
348,P35222,Q02218,0.01708806532921833,
349,P35222,Q02818,0.027947258881385943,
350,P35222,Q07065,0.010415590480684177,
351,P35222,Q07866,0.01261232607778277,
352,P35222,Q07954,0.008281607274835356,
353,P35222,Q13162,0.016609550141535357,
354,P35222,Q14011,0.013696908521471788,
355,P35222,Q15459,0.01745033076409681,
356,P35222,Q15843,0.008252598514991548,
357,P35222,Q96L92,0.024884278320296438,
358,P35222,Q9H0U4,0.01102614282000595,
359,P35222,Q9UHD8,0.005559307348413049,
360,P35222,Q9UJZ1,0.013217309393200519,
361,P35222,Q9UNH7,0.018149461502619785,
362,P35222,Q9Y3D6,0.005164349753474262,
363,P36957,O15143,0.0019382480059112468,
364,P36957,O94925,0.004712482990781239,
365,P36957,P02652,0.0022060183575826836,
366,P36957,P04179,0.0032286439569143015,
367,P36957,P12956,0.0051451709130598666,
368,P36957,P18859,0.009634377403778807,
369,P36957,P21281,0.014687120544178927,
370,P36957,P26022,0.03053469234332429,
371,P36957,P26447,0.0032439858052429405,
372,P36957,P30085,0.009546920338047972,
373,P36957,P35222,0.002324128385025172,
374,P36957,P38606,0.005049877609768591,
