"","Protein","P.Value","adj.P.Val"
"1","Q14011",0.00379114516196649,0.971800435381668
"2","Q02818",0.00460364776431739,0.971800435381668
"3","Q07954",0.00676626437456595,0.971800435381668
"4","Q07065",0.00891000820910372,0.971800435381668
"5","Q15843",0.00944279624703718,0.971800435381668
"6","Q9UHD8",0.0107744398832474,0.971800435381668
"7","P62854",0.0108968795449994,0.971800435381668
"8","O15143",0.01111360547448,0.971800435381668
"9","P18859",0.0123333798633548,0.971800435381668
"10","Q9NRX4",0.0143858799174889,0.971800435381668
"11","P02461",0.014615642943463,0.971800435381668
"12","P42765",0.0147123397166099,0.971800435381668
"13","Q7Z417",0.0178940032839919,0.971800435381668
"14","Q02218",0.0184335969074172,0.971800435381668
"15","P04179",0.0184407100217134,0.971800435381668
"16","P81644",0.0195187242188169,0.971800435381668
"17","P12956",0.020390769525892,0.971800435381668
"18","P61981",0.0208036331671903,0.971800435381668
"19","Q96HC4",0.0250816241657862,0.971800435381668
"20","Q13263",0.0251676190760449,0.971800435381668
"21","P62917",0.0256354878195093,0.971800435381668
"22","P40926",0.0259541798874134,0.971800435381668
"23","P13010",0.0266131117059749,0.971800435381668
"24","P05976",0.026692049302188,0.971800435381668
"25","P15374",0.0273136578246168,0.971800435381668
"26","P27816",0.0273202814207045,0.971800435381668
"27","P53621",0.0305257468133715,0.971800435381668
"28","Q9UMS6",0.0312596915579316,0.971800435381668
"29","Q96CW1",0.031433460027703,0.971800435381668
"30","Q14767",0.0324699641003339,0.971800435381668
"31","P07339",0.0340499492360284,0.971800435381668
"32","P62328",0.0340556650167857,0.971800435381668
"33","P06753",0.0343310390036809,0.971800435381668
"34","P23246",0.0369328638422006,0.971800435381668
"35","P37837",0.0369558118695166,0.971800435381668
"36","O94925",0.038573593796335,0.971800435381668
"37","P14314",0.0410683836634503,0.971800435381668
"38","Q14444",0.0420178710795652,0.971800435381668
"39","P62906",0.0426996680541412,0.971800435381668
"40","Q01995",0.0434443257309705,0.971800435381668
"41","P30085",0.0452275637742555,0.971800435381668
"42","Q15233",0.0454851481456729,0.971800435381668
"43","P62913",0.0482348568532685,0.971800435381668
"44","Q07866",0.0537005521127104,0.971800435381668
"45","Q05682",0.057697745833421,0.971800435381668
"46","P63208",0.062703780779373,0.971800435381668
"47","Q9UJZ1",0.0629982427294628,0.971800435381668
"48","P36957",0.0639397661351294,0.971800435381668
"49","Q9UBR2",0.0639463859871765,0.971800435381668
"50","Q6NYC8",0.064187086600317,0.971800435381668
"51","P21281",0.0646166624896462,0.971800435381668
"52","Q99439",0.0646794498747999,0.971800435381668
"53","P62249",0.065231216396335,0.971800435381668
"54","P38159",0.0678050434291899,0.971800435381668
"55","P38606",0.0695902811580898,0.971800435381668
"56","Q92945",0.0734881294468444,0.971800435381668
"57","Q8WX93",0.0734890204102057,0.971800435381668
"58","P52943",0.0740510716137957,0.971800435381668
"59","P27695",0.074374412377674,0.971800435381668
"60","Q14195",0.0745598298339905,0.971800435381668
"61","P05556",0.0754561224870572,0.971800435381668
"62","P26373",0.0755492405986263,0.971800435381668
"63","Q6DKJ4",0.076733173247827,0.971800435381668
"64","Q15459",0.0775274411043272,0.971800435381668
"65","Q02790",0.0782193971677632,0.971800435381668
"66","Q16629",0.0802210317987143,0.971800435381668
"67","P56192",0.0811201118425369,0.971800435381668
"68","Q8WWI1",0.0828625185438276,0.971800435381668
"69","O94808",0.0833006330735336,0.971800435381668
"70","Q86V81",0.0843785392699117,0.971800435381668
"71","Q15365",0.0850024120233486,0.971800435381668
"72","P08123",0.0868120078529053,0.971800435381668
"73","P54727",0.0877755716365064,0.971800435381668
"74","P51911",0.0955688588804285,0.971800435381668
"75","P60903",0.095637170286586,0.971800435381668
"76","P35222",0.0957436879306775,0.971800435381668
"77","P00568",0.0961004201156276,0.971800435381668
"78","Q96C90",0.0961737014253352,0.971800435381668
"79","Q14847",0.0961968481755607,0.971800435381668
"80","P48556",0.0962638938037029,0.971800435381668
"81","Q96L92",0.0966163880714679,0.971800435381668
"82","Q13162",0.0973249981406853,0.971800435381668
"83","P05787",0.0986759222877596,0.971800435381668
"84","Q9UPN3",0.0989095591792818,0.971800435381668
"85","Q9Y6M1",0.0991938690941826,0.971800435381668
"86","Q9HAV7",0.0994346220378495,0.971800435381668
"87","Q99497",0.100499496622585,0.971800435381668
