"","Protein","P.Value","adj.P.Val"
"1","Q02818",0.00031171880213992,0.295821143230784
"2","Q15843",0.00209329274804927,0.611577829126121
"3","Q9UHD8",0.00374294747408375,0.611577829126121
"4","P12956",0.00395883039291357,0.611577829126121
"5","Q07866",0.00463087520816297,0.611577829126121
"6","Q9UNH7",0.00514928751456393,0.611577829126121
"7","P04179",0.00563510062624961,0.611577829126121
"8","P40926",0.00605882304628784,0.611577829126121
"9","Q14011",0.00668883849772052,0.611577829126121
"10","P21281",0.0080724581169645,0.611577829126121
"11","P26022",0.00945481602276109,0.611577829126121
"12","Q9UJZ1",0.00957447822547831,0.611577829126121
"13","Q07065",0.00968462729428278,0.611577829126121
"14","Q07954",0.0113784875082549,0.611577829126121
"15","Q15459",0.0122405183514317,0.611577829126121
"16","P61981",0.0127321413042339,0.611577829126121
"17","P26447",0.0128916344111965,0.611577829126121
"18","P81644",0.0133135185760404,0.611577829126121
"19","P18859",0.0133647643305118,0.611577829126121
"20","P42765",0.014101938980065,0.611577829126121
"21","Q13162",0.0146104792004761,0.611577829126121
"22","P56192",0.0151428683282138,0.611577829126121
"23","P62917",0.0162586616837427,0.611577829126121
"24","O94925",0.0165896349538564,0.611577829126121
"25","Q9H0U4",0.0180821492791079,0.611577829126121
"26","P62854",0.0182797144817151,0.611577829126121
"27","P36957",0.0201965626374528,0.611577829126121
"28","P30085",0.0202135324052244,0.611577829126121
"29","O15143",0.0203485128027291,0.611577829126121
"30","P38606",0.0219766566049491,0.611577829126121
"31","Q02218",0.0231295732971827,0.611577829126121
"32","Q96L92",0.023490239645273,0.611577829126121
"33","P35222",0.0241432492268217,0.611577829126121
"34","Q9Y3D6",0.0248805047700259,0.611577829126121
"35","P14314",0.0251762050676952,0.611577829126121
"36","Q96HC4",0.0253305107316954,0.611577829126121
"37","Q9HAV7",0.0254790873640547,0.611577829126121
"38","P13010",0.0256948601143349,0.611577829126121
"39","P27816",0.0261282131964576,0.611577829126121
"40","Q9NRX4",0.027219492549344,0.611577829126121
"41","P07339",0.0282985939285425,0.611577829126121
"42","Q16629",0.0283677227814723,0.611577829126121
"43","P23246",0.028953697664322,0.611577829126121
"44","P48556",0.0295019266679617,0.611577829126121
"45","P06753",0.0311846133382254,0.611577829126121
"46","Q14444",0.0318710335188994,0.611577829126121
"47","Q01995",0.0319994664017736,0.611577829126121
"48","P53621",0.0320050057385394,0.611577829126121
"49","P00568",0.0328721962510894,0.611577829126121
"50","P62913",0.0334335571551506,0.611577829126121
"51","P30048",0.0351069560369821,0.611577829126121
"52","P05976",0.0351579892689272,0.611577829126121
"53","Q96KR1",0.0366057780637058,0.611577829126121
"54","P45877",0.0368486601166196,0.611577829126121
"55","P62906",0.0370300011170855,0.611577829126121
"56","Q7Z417",0.0371667762808272,0.611577829126121
"57","P37837",0.0372287082995667,0.611577829126121
"58","Q13263",0.0379465530058045,0.611577829126121
"59","P62249",0.0386167625352595,0.611577829126121
"60","Q9NQP4",0.0389915208273457,0.611577829126121
"61","P62328",0.0393439511368084,0.611577829126121
"62","Q05682",0.0410543557064734,0.611577829126121
"63","P15374",0.04121793127065,0.611577829126121
"64","Q15233",0.0428331235591534,0.611577829126121
"65","P07203",0.0428913578824167,0.611577829126121
"66","P49756",0.0433010101003545,0.611577829126121
"67","O43617",0.044664192905882,0.611577829126121
"68","P52943",0.0446887028984997,0.611577829126121
"69","P05121",0.045001414163219,0.611577829126121
"70","P46379",0.0451111148986601,0.611577829126121
"71","Q9UMS6",0.0489396403942932,0.649699279785887
"72","P62888",0.0499654929773056,0.649699279785887
"73","P49023",0.0501933873783677,0.649699279785887
"74","Q9BY44",0.0520339900320987,0.649699279785887
"75","P38159",0.0527468219350985,0.649699279785887
"76","P16278",0.0532751934624647,0.649699279785887
"77","Q6NYC8",0.0540881310452052,0.649699279785887
"78","Q96IZ0",0.0541619470424019,0.649699279785887
"79","Q14195",0.0545312295041084,0.649699279785887
"80","P02461",0.0553341483072132,0.649699279785887
"81","Q9Y5S9",0.0554537846814087,0.649699279785887
"82","Q9UPN3",0.0596955347255765,0.69086661529966
"83","Q99439",0.0654206812343141,0.715413793397236
"84","P10412",0.0659390614043013,0.715413793397236
"85","Q6DKJ4",0.0682457204698829,0.715413793397236
"86","P05787",0.0691429039928605,0.715413793397236
"87","Q8WX93",0.0694081924092454,0.715413793397236
"88","O94808",0.0715148250105727,0.715413793397236
"89","Q13185",0.0721341853786533,0.715413793397236
"90","P51991",0.0748779373948084,0.715413793397236
"91","P17812",0.075057571411244,0.715413793397236
"92","Q15417",0.0757704786323132,0.715413793397236
"93","O14980",0.0759366321923132,0.715413793397236
"94","Q99426",0.077810653308278,0.715413793397236
"95","P13489",0.0791291536482649,0.715413793397236
"96","O43399",0.0798972141156285,0.715413793397236
"97","P63167",0.0809205323666441,0.715413793397236
"98","P51911",0.0813073002198569,0.715413793397236
"99","Q5SW79",0.0817113382796158,0.715413793397236
"100","Q86V81",0.0819736276464093,0.715413793397236
"101","Q13404",0.0823581874145343,0.715413793397236
"102","P28300",0.0825996884321016,0.715413793397236
"103","Q13011",0.0836353320385064,0.715413793397236
"104","Q96CW1",0.0837216312796648,0.715413793397236
"105","P63208",0.0844218302944885,0.715413793397236
"106","Q92945",0.0846688993640877,0.715413793397236
"107","Q15366",0.0848988885555148,0.715413793397236
"108","O43242",0.0854416778987405,0.715413793397236
"109","Q99460",0.0863804490361586,0.715413793397236
"110","Q15365",0.0875014662976303,0.715413793397236
"111","Q06210",0.0883810689115916,0.715413793397236
"112","Q14847",0.0907981920719917,0.715413793397236
"113","P19367",0.0909476084125706,0.715413793397236
"114","P27695",0.0913817134832819,0.715413793397236
"115","Q96C90",0.091516552138255,0.715413793397236
"116","P26373",0.0932421925209754,0.715413793397236
"117","P68032",0.0937457231932868,0.715413793397236
"118","P35080",0.0938961454421975,0.715413793397236
