"","Protein","P.Value","adj.P.Val"
"1","P02461",0.00027259346262199,0.161581990584386
"2","Q16222",0.000694410465982797,0.161581990584386
"3","Q02818",0.000713010303070621,0.161581990584386
"4","P04179",0.000823689491638909,0.161581990584386
"5","P12956",0.000855836814535942,0.161581990584386
"6","Q13492",0.0013816246742281,0.204728968742529
"7","P51911",0.00151811735296367,0.204728968742529
"8","Q9UHD8",0.00270814858495995,0.275094980172451
"9","P26022",0.00278502875800192,0.275094980172451
"10","Q96KR1",0.00291414173911495,0.275094980172451
"11","Q9Y266",0.00382088939494934,0.315214359322385
"12","P78527",0.00400696219477608,0.315214359322385
"13","Q9HB07",0.00472720020988463,0.3432674613947
"14","Q99622",0.00542222934364784,0.360312282871904
"15","O15143",0.0057253011049561,0.360312282871904
"16","Q12874",0.00674364286562948,0.368166849912426
"17","Q7L2H7",0.00726852468519742,0.368166849912426
"18","O94925",0.00735306620953007,0.368166849912426
"19","Q14011",0.00843302678097046,0.368166849912426
"20","Q9HBL0",0.00851202169342074,0.368166849912426
"21","Q15843",0.00866314509084148,0.368166849912426
"22","Q15046",0.00869953362045647,0.368166849912426
"23","P40926",0.00897016689405276,0.368166849912426
"24","Q07065",0.010198355591976,0.401135319951055
"25","O75531",0.0121185122965835,0.452387418406163
"26","P81644",0.0129674100740856,0.452387418406163
"27","O60443",0.0140213064867145,0.452387418406163
"28","P62854",0.0141916471025243,0.452387418406163
"29","O95373",0.0141965806020353,0.452387418406163
"30","Q12888",0.0145471908086664,0.452387418406163
"31","P61981",0.0148559427654566,0.452387418406163
"32","P21281",0.0162476197621458,0.479304782983302
"33","Q9UJZ1",0.0177764381844198,0.508377582777805
"34","P62917",0.0187782826253115,0.508377582777805
"35","O00273",0.0188487451241771,0.508377582777805
"36","Q9NRX4",0.0203296372829376,0.533088266530364
"37","P49756",0.0250603937865907,0.609140723254471
"38","P30085",0.0251773935170896,0.609140723254471
"39","P05976",0.0253016057195382,0.609140723254471
"40","Q96HC4",0.026659151347097,0.609140723254471
"41","P13010",0.0272477282092693,0.609140723254471
"42","P17812",0.0273650581266858,0.609140723254471
"43","P27816",0.0277468761651931,0.609140723254471
"44","P14314",0.0291374103644984,0.61337921743587
"45","P16278",0.030180618462191,0.61337921743587
"46","Q5SW79",0.0305724040440636,0.61337921743587
"47","Q92841",0.0312955366364604,0.61337921743587
"48","Q15459",0.0314111398354741,0.61337921743587
"49","P23246",0.0318385398880907,0.61337921743587
"50","P06753",0.0333391283638542,0.617577145450449
"51","P53621",0.0333648669681916,0.617577145450449
"52","Q01995",0.0355695997042607,0.638170550402272
"53","P38606",0.0358294906475852,0.638170550402272
"54","Q96CG8",0.0367497128832152,0.642439425217688
"55","P62913",0.0375973469261507,0.645307190877932
"56","Q02790",0.038350450392254,0.646479020897996
"57","Q13263",0.0401601779322337,0.651370545415427
"58","P62328",0.0402554500103435,0.651370545415427
"59","Q6NYC8",0.0409251661498835,0.651370545415427
"60","P18859",0.0423986745828003,0.651370545415427
"61","P35222",0.0427021697725413,0.651370545415427
"62","P15374",0.0439878299322664,0.651370545415427
"63","P62249",0.0448321055377585,0.651370545415427
"64","P42765",0.0450982074806042,0.651370545415427
"65","Q05682",0.0458092233365538,0.651370545415427
"66","P49023",0.0458672516562179,0.651370545415427
"67","P48556",0.0462307484563915,0.651370545415427
"68","Q9Y5S9",0.0485317294185396,0.668369306981301
"69","Q16629",0.0493866281792232,0.668369306981301
"70","Q9UMS6",0.0495612833566643,0.668369306981301
"71","P21399",0.0511915789062255,0.680631697006717
"72","Q13162",0.0533220143663724,0.699110855025771
"73","P62888",0.0542791409209598,0.700458029935351
"74","Q07954",0.0549087862449322,0.700458029935351
"75","P37837",0.0573330341255397,0.711027695185662
"76","P38159",0.0576413414288421,0.711027695185662
"77","P30048",0.0579969624251016,0.711027695185662
"78","O60869",0.0601182416776067,0.716024974482923
"79","Q14195",0.0603018758470324,0.716024974482923
"80","P36957",0.0615906079420977,0.716024974482923
"81","Q9Y3D6",0.0619359252263399,0.716024974482923
"82","P62906",0.062197084647881,0.716024974482923
