"","Protein","P.Value","adj.P.Val"
"1","P02461",0.000277857277093976,0.165123971071325
"2","Q16222",0.000729685576008822,0.165123971071325
"3","Q02818",0.000757883092004691,0.165123971071325
"4","P04179",0.000840598667120401,0.165123971071325
"5","P12956",0.000874597304403205,0.165123971071325
"6","P51911",0.00153085085851854,0.216392444697864
"7","Q13492",0.00160460499246297,0.216392444697864
"8","Q9UHD8",0.00279552309804506,0.292339953384562
"9","Q96KR1",0.00306592644255859,0.292339953384562
"10","P26022",0.00309682154009069,0.292339953384562
"11","Q9Y266",0.00395309443661359,0.335099200281747
"12","P78527",0.00460239526742605,0.335099200281747
"13","Q9HB07",0.00461471356320202,0.335099200281747
"14","Q99622",0.00592130169318998,0.399264914169381
"15","O15143",0.00652565682741661,0.410681336338752
"16","Q12874",0.00748237470236801,0.411417486543247
"17","O94925",0.00776623455372334,0.411417486543247
"18","Q7L2H7",0.0079455912812776,0.411417486543247
"19","Q14011",0.00867365388718016,0.411417486543247
"20","Q9HBL0",0.00871647217252642,0.411417486543247
"21","Q15046",0.00936677558207861,0.413584976223569
"22","Q15843",0.00963863292046454,0.413584976223569
"23","Q07065",0.010263036728636,0.421230724862279
"24","P40926",0.0109923040833277,0.432363960610888
"25","O75531",0.0128014231627823,0.480482522144436
"26","P81644",0.0133498362131835,0.480482522144436
"27","P62854",0.014334827364585,0.480482522144436
"28","O60443",0.014733171955674,0.480482522144436
"29","Q12888",0.0155918401393482,0.480482522144436
"30","O95373",0.0156179825337468,0.480482522144436
"31","P61981",0.0157785574009296,0.480482522144436
"32","Q9UJZ1",0.0182777184335653,0.523988905053281
"33","P21281",0.0183174087571592,0.523988905053281
"34","O00273",0.019582358788755,0.535493257609085
"35","P62917",0.019854093237625,0.535493257609085
"36","Q9NRX4",0.0215200366479472,0.564303183212838
"37","P49756",0.0254793944587821,0.629052088746555
"38","P05976",0.026335220830375,0.629052088746555
"39","Q96HC4",0.0269307487739157,0.629052088746555
"40","P13010",0.0276359987530213,0.629052088746555
"41","P30085",0.0280110240357265,0.629052088746555
"42","P27816",0.0281652055129803,0.629052088746555
"43","P17812",0.0298845167495042,0.629052088746555
"44","Q92841",0.0307154908360593,0.629052088746555
"45","P14314",0.0309748545639491,0.629052088746555
"46","Q5SW79",0.0315261662336974,0.629052088746555
"47","Q15459",0.0318548002939136,0.629052088746555
"48","P23246",0.0327386560969764,0.629052088746555
"49","P16278",0.0327848298352936,0.629052088746555
"50","P53621",0.0335702927974782,0.629052088746555
"51","P06753",0.0339848056420279,0.629052088746555
"52","Q01995",0.0368841659226878,0.653295815047317
"53","Q96CG8",0.0392381304025072,0.653295815047317
"54","P38606",0.0392836924080855,0.653295815047317
"55","P62913",0.0393118057521339,0.653295815047317
"56","Q13263",0.0394915382521073,0.653295815047317
"57","Q02790",0.0397869029663056,0.653295815047317
"58","P62328",0.0401389377889241,0.653295815047317
"59","Q6NYC8",0.0420038756162626,0.672062009860202
"60","P15374",0.0446472898596411,0.681322287900086
"61","P18859",0.0452458674686101,0.681322287900086
"62","P35222",0.0456990031093658,0.681322287900086
"63","P49023",0.0470467001331203,0.681322287900086
"64","Q05682",0.0477412976721496,0.681322287900086
"65","P62249",0.047939922001777,0.681322287900086
"66","P42765",0.0482814416956644,0.681322287900086
"67","P48556",0.0486767651566994,0.681322287900086
"68","Q9Y5S9",0.0490783003995824,0.681322287900086
"69","Q9UMS6",0.0509669366897066,0.697286786015696
"70","Q16629",0.0540813905444623,0.729326181056749
"71","Q07954",0.0553226560498638,0.735557567761569
"72","P21399",0.0572627433491179,0.73730595171168
"73","P62888",0.0575933216664364,0.73730595171168
"74","Q13162",0.057828858574821,0.73730595171168
"75","P30048",0.0593106593616537,0.73730595171168
"76","P38159",0.0593722926790784,0.73730595171168
"77","P37837",0.0601868048836354,0.73730595171168
"78","Q14195",0.0626359445010872,0.73730595171168
"79","P62906",0.0633525808019117,0.73730595171168
"80","O60869",0.0634500075884506,0.73730595171168
"81","Q06210",0.0636936293478767,0.73730595171168
"82","P36957",0.0658962554161915,0.73730595171168
"83","Q9Y3D6",0.0662071078419031,0.73730595171168
"84","P60903",0.0671538142300294,0.73730595171168
"85","P05121",0.0673593094265869,0.73730595171168
"86","Q99439",0.0684465100808591,0.73730595171168
"87","O95793",0.0685140271781813,0.73730595171168
"88","P62851",0.0692616551311585,0.73730595171168
"89","Q15233",0.0697075297917126,0.73730595171168
"90","Q15435",0.0702939996335288,0.73730595171168
"91","Q6DKJ4",0.0738523924204857,0.757974451806793
"92","Q8WX93",0.0738703914896451,0.757974451806793
"93","Q9Y3B8",0.0777063345802546,0.781830818999953
"94","Q9NQP4",0.0778517976546564,0.781830818999953
"95","P50479",0.0787802229544394,0.782666997160242
"96","P05787",0.0804104247867552,0.782666997160242
"97","Q14444",0.082857743044284,0.782666997160242
"98","Q9UBR2",0.0832209503275919,0.782666997160242
"99","P07339",0.0833988078292035,0.782666997160242
"100","P20908",0.0837398977950551,0.782666997160242
"101","Q9BT78",0.0859257660582764,0.782666997160242
"102","P51991",0.0865010550026121,0.782666997160242
"103","Q92973",0.0883279023527629,0.782666997160242
"104","Q92598",0.0908424219786112,0.782666997160242
"105","O43399",0.091572551296668,0.782666997160242
"106","Q99460",0.0917958860092421,0.782666997160242
"107","Q08209",0.0919428620954909,0.782666997160242
"108","Q99426",0.0920428646110902,0.782666997160242
"109","Q15417",0.0921234057712678,0.782666997160242
"110","P28300",0.0923508854104814,0.782666997160242
"111","Q14847",0.0962215976709704,0.782666997160242
"112","Q9Y6M1",0.0964594800830144,0.782666997160242
"113","Q13011",0.0965025335804424,0.782666997160242
"114","P62195",0.0981273657385909,0.782666997160242
"115","P60228",0.0987948036790128,0.782666997160242
"116","P54727",0.100237867990135,0.782666997160242
"117","P68032",0.102404882076787,0.782666997160242
"118","Q99497",0.102827974151132,0.782666997160242
"119","O43242",0.103424555091455,0.782666997160242
"120","P52943",0.104717902699671,0.782666997160242
"121","Q96IZ0",0.105350494481968,0.782666997160242
"122","P08123",0.105634989489074,0.782666997160242
"123","Q9UK76",0.106633729495782,0.782666997160242
"124","P49588",0.108009482232849,0.782666997160242
"125","P09972",0.108350476798399,0.782666997160242
"126","Q15717",0.109009052307626,0.782666997160242
"127","P62979",0.109512638142937,0.782666997160242
"128","Q99729",0.109645784963005,0.782666997160242
"129","P08107",0.109890377268952,0.782666997160242
"130","Q53GG5",0.110408661120383,0.782666997160242
"131","Q13404",0.112305288683081,0.782666997160242
"132","Q14152",0.112341953959175,0.782666997160242
"133","Q9NR12",0.113049323929053,0.782666997160242
"134","P19367",0.114518651036533,0.782666997160242
"135","p_2",0.114708009444874,0.782666997160242
"136","O75367",0.116900519703643,0.782666997160242
"137","Q86V81",0.117480944996985,0.782666997160242
"138","Q7KZF4",0.118704867723696,0.782666997160242
"139","P47756",0.118776532193612,0.782666997160242
"140","Q15691",0.11979589218329,0.782666997160242
"141","P25788",0.120889426882889,0.782666997160242
"142","O76003",0.121071155880063,0.782666997160242
"143","Q07021",0.122165879579058,0.782666997160242
"144","Q9UKY7",0.122585252033601,0.782666997160242
"145","P13667",0.12300835453008,0.782666997160242
"146","p_1",0.123383876925102,0.782666997160242
"147","P54886",0.123928494823586,0.782666997160242
"148","Q9Y237",0.124145496084098,0.782666997160242
"149","O14737",0.125365036105315,0.782666997160242
"150","Q9UMX0",0.125382845931438,0.782666997160242
"151","Q96I24",0.125989133703218,0.782666997160242
"152","P42224",0.12805405166304,0.782666997160242
"153","P62158",0.128192544111017,0.782666997160242
"154","P04075",0.128197516342344,0.782666997160242
"155","Q15365",0.12969293431136,0.782666997160242
"156","P13693",0.130241542599309,0.782666997160242
"157","P07602",0.13133858479163,0.782666997160242
"158","P07686",0.131869142640655,0.782666997160242
"159","P60866",0.132561158317323,0.782666997160242
"160","Q05519",0.133234788786643,0.782666997160242
"161","O43175",0.133728152139004,0.782666997160242
"162","Q9BRF8",0.134313616038092,0.782666997160242
"163","P10412",0.135464753808349,0.784532071135469
"164","P16989",0.137499077061616,0.791458102110764
"165","P05556",0.140186861359124,0.801244673368403
