"","Protein","P.Value","adj.P.Val"
"1","Q14767",0.0016516981364017,0.883387979540147
"2","Q7Z417",0.00186172387679694,0.883387979540147
"3","P02461",0.00777276128735997,0.996900493069713
"4","Q14011",0.00986886985272633,0.996900493069713
"5","O15143",0.0101022869821825,0.996900493069713
"6","P09104",0.0102628883045755,0.996900493069713
"7","O60869",0.0144455367669398,0.996900493069713
"8","Q07065",0.0147984447371372,0.996900493069713
"9","P63208",0.015236053318125,0.996900493069713
"10","Q9UQ35",0.0153628915836222,0.996900493069713
"11","Q02218",0.016328832682404,0.996900493069713
"12","Q9UPN3",0.0194920007556654,0.996900493069713
"13","Q01995",0.020552252517116,0.996900493069713
"14","Q02818",0.0219579387907759,0.996900493069713
"15","Q9Y3D6",0.0224151739160424,0.996900493069713
"16","O43617",0.0266504821442773,0.996900493069713
"17","P04179",0.0286372027952399,0.996900493069713
"18","P60903",0.0291381407556344,0.996900493069713
"19","P46778",0.0291824755366549,0.996900493069713
"20","P13861",0.0294811904531526,0.996900493069713
"21","P62861",0.0323906496804425,0.996900493069713
"22","Q96HC4",0.034414554003012,0.996900493069713
"23","P37837",0.0347220149609699,0.996900493069713
"24","P49023",0.0357710399785325,0.996900493069713
"25","P27816",0.0365639589795621,0.996900493069713
"26","P62328",0.0391176656239857,0.996900493069713
"27","Q13263",0.0402748155166808,0.996900493069713
"28","P13010",0.0410392842510241,0.996900493069713
"29","Q99471",0.0412787295625574,0.996900493069713
"30","P62979",0.041494262092076,0.996900493069713
"31","Q05682",0.0427137653735558,0.996900493069713
"32","P43487",0.0431707497823442,0.996900493069713
"33","P53621",0.0433848227777854,0.996900493069713
"34","P06753",0.0442304915314349,0.996900493069713
"35","P81644",0.0452578144548569,0.996900493069713
"36","Q6P2Q9",0.0477390916166146,0.996900493069713
"37","P27635",0.0482208212015519,0.996900493069713
"38","Q07954",0.0485090016850117,0.996900493069713
"39","Q00341",0.0486690764456553,0.996900493069713
"40","P61981",0.0488854438354471,0.996900493069713
"41","P05787",0.0529019088492827,0.996900493069713
"42","P21281",0.0533262208566564,0.996900493069713
"43","p_2",0.0539278871742411,0.996900493069713
"44","Q96L92",0.0546652234544266,0.996900493069713
"45","P40926",0.0550143506035402,0.996900493069713
"46","P20073",0.0568793182040564,0.996900493069713
"47","Q86V81",0.0577603731847303,0.996900493069713
"48","P40123",0.0579775801321888,0.996900493069713
"49","P62917",0.0593683083759057,0.996900493069713
"50","Q15843",0.0594623147107183,0.996900493069713
"51","P14314",0.0597564918076349,0.996900493069713
"52","Q92945",0.060065779829117,0.996900493069713
"53","Q14444",0.0617363647072855,0.996900493069713
"54","P49756",0.0618694258702772,0.996900493069713
"55","P27824",0.0622350801799681,0.996900493069713
"56","Q00688",0.0626378047455673,0.996900493069713
"57","P23246",0.0630138863922141,0.996900493069713
"58","P12956",0.0636618421665341,0.996900493069713
"59","P28838",0.063810792654003,0.996900493069713
"60","Q9UN86",0.065147571361299,0.996900493069713
"61","Q13347",0.0658974175541334,0.996900493069713
"62","Q13011",0.065956801683014,0.996900493069713
"63","P15374",0.0671277159086955,0.996900493069713
"64","P05976",0.0672303809867878,0.996900493069713
"65","Q07866",0.070172761818302,0.999488061858375
"66","Q14157",0.0714208129418519,0.999488061858375
"67","Q7Z4V5",0.0730051428663122,0.999488061858375
"68","P68032",0.0745428457764051,0.999488061858375
"69","P50914",0.0754706866286042,0.999488061858375
"70","P51911",0.0754727158814765,0.999488061858375
