"","Protein","P.Value","adj.P.Val"
"1","P18124",7.3211079818014e-05,0.0384445782477216
"2","Q92841",8.10212397212258e-05,0.0384445782477216
"3","P05067",0.00065784676200077,0.208098859046244
"4","O60869",0.00167617380094075,0.397672234273193
"5","O00571",0.00292196229485,0.55458844356253
"6","P62701",0.00897304608970543,0.996292594963219
"7","Q8IVF2",0.00984229309997866,0.996292594963219
"8","P09104",0.0112866515710904,0.996292594963219
"9","P18564",0.0121589944627128,0.996292594963219
"10","Q13557",0.0169080185122527,0.996292594963219
"11","P63208",0.0169186538691582,0.996292594963219
"12","P40926",0.0174992785463125,0.996292594963219
"13","Q9UN86",0.0188790214179857,0.996292594963219
"14","P28331",0.0214971174978043,0.996292594963219
"15","Q96KR1",0.0226902891882051,0.996292594963219
"16","Q6NYC8",0.0230895188467208,0.996292594963219
"17","P50479",0.0241607046527527,0.996292594963219
"18","Q07065",0.0242906079458786,0.996292594963219
"19","Q01995",0.0251415817588293,0.996292594963219
"20","P43487",0.0267289969058757,0.996292594963219
"21","P63313",0.0295957965739598,0.996292594963219
"22","P07602",0.0351003415068778,0.996292594963219
"23","Q05682",0.0371336513658456,0.996292594963219
"24","P27816",0.0389344226539066,0.996292594963219
"25","P14314",0.0390424838186477,0.996292594963219
"26","Q96HC4",0.0401467844254913,0.996292594963219
"27","Q6YHU6",0.0420280522363,0.996292594963219
"28","O95340",0.0424389506045475,0.996292594963219
"29","P06753",0.0435314782187433,0.996292594963219
"30","Q6NXS1",0.0452747266534496,0.996292594963219
"31","O00159",0.0483754010252679,0.996292594963219
"32","P61019",0.0489686865779839,0.996292594963219
"33","P27635",0.0490710516642015,0.996292594963219
"34","P13010",0.0499346896021626,0.996292594963219
"35","P61981",0.0511016228056035,0.996292594963219
"36","P62328",0.0513906018220535,0.996292594963219
"37","Q9Y520",0.0520002133209512,0.996292594963219
"38","P05787",0.0545119244332727,0.996292594963219
"39","P05976",0.0559394376426887,0.996292594963219
"40","P53621",0.0568234281554045,0.996292594963219
"41","P62979",0.0603936491216505,0.996292594963219
"42","Q14195",0.0613344166389361,0.996292594963219
"43","P23246",0.0619570950479666,0.996292594963219
"44","Q14011",0.0631867420061709,0.996292594963219
"45","P37837",0.0655077410951496,0.996292594963219
"46","P62917",0.068290404402728,0.996292594963219
"47","P61960",0.0686238903397794,0.996292594963219
"48","Q92945",0.0697401176048355,0.996292594963219
"49","P62851",0.0701224790002454,0.996292594963219
"50","P49023",0.070320111675453,0.996292594963219
"51","P16989",0.0725552245811541,0.996292594963219
"52","Q9NR28",0.0753287323357105,0.996292594963219
"53","Q13442",0.0759450538484367,0.996292594963219
"54","O15143",0.0792812567292792,0.996292594963219
"55","Q13347",0.0799645554370826,0.996292594963219
"56","P68032",0.082814144196218,0.996292594963219
"57","Q16527",0.0829302858649606,0.996292594963219
"58","Q00341",0.0834872735622785,0.996292594963219
"59","Q9BY44",0.0873387469234899,0.996292594963219
"60","P22087",0.0910698230448979,0.996292594963219
"61","P62913",0.0931431739383602,0.996292594963219
"62","Q86V81",0.0941525516440241,0.996292594963219
"63","P62736",0.0949148817201562,0.996292594963219
"64","Q9Y617",0.0949267036571965,0.996292594963219
"65","Q99439",0.0956113586726933,0.996292594963219
"66","P04075",0.0957112170259488,0.996292594963219
"67","P04179",0.0963445731790279,0.996292594963219
"68","P60903",0.0965312674691099,0.996292594963219
"69","P37108",0.0966986873498731,0.996292594963219
"70","Q12888",0.0973626292170598,0.996292594963219
"71","P09429",0.105582981851998,0.996292594963219
"72","Q14247",0.106666551447567,0.996292594963219
"73","p_1",0.108520775796816,0.996292594963219
"74","Q5SW79",0.109056941522862,0.996292594963219
"75","P13667",0.110083233317259,0.996292594963219
"76","Q9Y266",0.111960403264364,0.996292594963219
"77","Q8WX93",0.11247668488059,0.996292594963219
"78","Q9UNH7",0.114330130083531,0.996292594963219
"79","Q02543",0.118587363716138,0.996292594963219
"80","P07737",0.123526028778899,0.996292594963219
"81","Q9UJU6",0.124173703311799,0.996292594963219
"82","P11586",0.124864821767611,0.996292594963219
"83","P62249",0.124925694524052,0.996292594963219
"84","P08107",0.12550157954831,0.996292594963219
"85","P46778",0.125849617150769,0.996292594963219
"86","P62861",0.126080810833305,0.996292594963219
"87","Q14847",0.126485728084224,0.996292594963219
"88","P62318",0.127599906034956,0.996292594963219
"89","P20962",0.12806638007547,0.996292594963219
"90","Q7Z417",0.128211342061347,0.996292594963219
"91","P12270",0.13049205188491,0.996292594963219
"92","P51991",0.132433153273271,0.996292594963219
"93","Q14157",0.13285451501994,0.996292594963219
"94","Q96C90",0.134189519942974,0.996292594963219
"95","P68402",0.135065542481213,0.996292594963219
"96","P12081",0.135639932694352,0.996292594963219
"97","P08123",0.135794898524265,0.996292594963219
"98","P51911",0.136559432968768,0.996292594963219
"99","Q08211",0.139546169615157,0.996292594963219
"100","P46379",0.141667620320491,0.996292594963219
"101","P38159",0.142490440110741,0.996292594963219
"102","P51148",0.142552291986554,0.996292594963219
"103","P83731",0.143280307667624,0.996292594963219
"104","P62158",0.143710247362936,0.996292594963219
"105","P31153",0.144845742192378,0.996292594963219
"106","O75368",0.146137198034819,0.996292594963219
"107","Q9H2U2",0.147777013241891,0.996292594963219
"108","P55884",0.148767639132923,0.996292594963219
"109","Q7KZF4",0.149856845682132,0.996292594963219
"110","P0CW22",0.154245003884937,0.996292594963219
"111","P30101",0.159508475556314,0.996292594963219
"112","P14550",0.159560198679865,0.996292594963219
"113","P60842",0.16022960280499,0.996292594963219
"114","P13693",0.160625305582179,0.996292594963219
"115","Q99733",0.162518208331698,0.996292594963219
"116","P04406",0.162583491750112,0.996292594963219
"117","Q14444",0.163188966361042,0.996292594963219
"118","Q96C19",0.163441573357826,0.996292594963219
"119","P06576",0.16375329084548,0.996292594963219
"120","Q15365",0.165097229788457,0.996292594963219
"121","P21333",0.1652039382386,0.996292594963219
"122","O60716",0.165646916438223,0.996292594963219
"123","P07203",0.166074467324407,0.996292594963219
"124","P35080",0.166867718735826,0.996292594963219
"125","Q15233",0.170533217100889,0.996292594963219
"126","P49458",0.170852955833484,0.996292594963219
"127","P46821",0.172455754719966,0.996292594963219
"128","Q96A49",0.173108778109242,0.996292594963219
"129","Q9NZI8",0.174360608609545,0.996292594963219
"130","Q15847",0.174871996102665,0.996292594963219
"131","P30043",0.175072922982659,0.996292594963219
"132","P13489",0.175348808189409,0.996292594963219
"133","Q9BUJ2",0.175778043384382,0.996292594963219
"134","Q9UKY7",0.175895155681151,0.996292594963219
"135","Q15417",0.177564207792778,0.996292594963219
