"","Protein","P.Value","adj.P.Val"
"1","Q02818",0.000241847420816627,0.229513202354979
"2","Q15843",0.00271633938052674,0.558461039497763
"3","Q07866",0.00284658651543786,0.558461039497763
"4","Q9UNH7",0.00284898568639033,0.558461039497763
"5","Q9UHD8",0.00396484471877236,0.558461039497763
"6","P12956",0.00463201135972628,0.558461039497763
"7","Q14011",0.00463559609406622,0.558461039497763
"8","P04179",0.00523233808841532,0.558461039497763
"9","P21281",0.00665905230576477,0.558461039497763
"10","P26447",0.00719405637246936,0.558461039497763
"11","P26022",0.0082043551146716,0.558461039497763
"12","Q07954",0.00837247565730606,0.558461039497763
"13","Q15459",0.00862466545660527,0.558461039497763
"14","P42765",0.00981221846343198,0.558461039497763
"15","P18859",0.00983078456701803,0.558461039497763
"16","P81644",0.0102224767591822,0.558461039497763
"17","Q9UJZ1",0.0103254149631715,0.558461039497763
"18","Q07065",0.0108778896969919,0.558461039497763
"19","P56192",0.0111809902533799,0.558461039497763
"20","Q9H0U4",0.0120138713185397,0.570058194064711
"21","Q13162",0.0131474845980821,0.59097815324388
"22","P62854",0.0153205336072053,0.59097815324388
"23","P36957",0.0154553833446587,0.59097815324388
"24","Q02218",0.0167174307409265,0.59097815324388
"25","Q9Y3D6",0.0168437492491512,0.59097815324388
"26","Q9HAV7",0.0174250927696787,0.59097815324388
"27","Q96L92",0.0175484943983943,0.59097815324388
"28","O94925",0.0190708512107273,0.59097815324388
"29","O15143",0.0204689093921598,0.59097815324388
"30","P61981",0.0216608415297346,0.59097815324388
"31","Q9NRX4",0.0222331442152548,0.59097815324388
"32","Q01995",0.023897330480892,0.59097815324388
"33","P38606",0.0242751063893493,0.59097815324388
"34","P00568",0.0246337746588659,0.59097815324388
"35","P48556",0.025052637838464,0.59097815324388
"36","P62917",0.0253914984686477,0.59097815324388
"37","P30085",0.0256590056840953,0.59097815324388
"38","P45877",0.0262003402870492,0.59097815324388
"39","P35222",0.0268867036976882,0.59097815324388
"40","P40926",0.0272720569500498,0.59097815324388
"41","Q7Z417",0.028015260775679,0.59097815324388
"42","Q96KR1",0.0287161097442134,0.59097815324388
"43","P05976",0.0302264771887143,0.59097815324388
"44","P07339",0.0303590261921696,0.59097815324388
"45","O43617",0.0303971766981207,0.59097815324388
"46","Q96HC4",0.0316331105402299,0.59097815324388
"47","P13010",0.0319683998562735,0.59097815324388
"48","P07203",0.0336097573962982,0.59097815324388
"49","P49756",0.0340606441064647,0.59097815324388
"50","P27816",0.0342931163961612,0.59097815324388
"51","Q13263",0.034308577686036,0.59097815324388
"52","P46379",0.0350630918345348,0.59097815324388
"53","Q9NQP4",0.0353479934726002,0.59097815324388
"54","P15374",0.0363664778698962,0.59097815324388
"55","P53621",0.0368607485970835,0.59097815324388
"56","Q14444",0.0376223006399919,0.59097815324388
"57","Q9UMS6",0.0383643518618277,0.59097815324388
"58","Q9BY44",0.0392651489156234,0.59097815324388
"59","P49023",0.0399773256908038,0.59097815324388
"60","Q15233",0.0411636357465782,0.59097815324388
"61","Q96IZ0",0.0415410201075056,0.59097815324388
"62","P06753",0.0420900164548038,0.59097815324388
"63","Q6NYC8",0.0421489269844292,0.59097815324388
"64","P52943",0.0423907354650979,0.59097815324388
"65","P23246",0.0426445276293194,0.59097815324388
"66","P62328",0.0433773100414729,0.59097815324388
"67","P30048",0.0442604048393529,0.59097815324388
"68","Q9Y5S9",0.0445461698340101,0.59097815324388
"69","Q16629",0.0447869990863372,0.59097815324388
"70","P16278",0.0449046184783039,0.59097815324388
"71","Q05682",0.0453043412191968,0.59097815324388
"72","Q9UPN3",0.0454450280940017,0.59097815324388
"73","P14314",0.0464991630585183,0.59097815324388
"74","P05121",0.0465170720378579,0.59097815324388
"75","P62906",0.0467053335018872,0.59097815324388
"76","P02461",0.0507292473544135,0.628418886191949
"77","P62913",0.0509886767510854,0.628418886191949
"78","P62888",0.0520799849484389,0.633639816872673
"79","Q6DKJ4",0.0540777269360072,0.64961725142115
"80","P05787",0.0552454165347514,0.655348753643488
"81","O94808",0.0569838850065065,0.666469397953253
"82","P10412",0.0575874506134528,0.666469397953253
"83","P63167",0.0603038480789856,0.684566650083026
"84","Q96CW1",0.0605938868355893,0.684566650083026
"85","O14980",0.0645349132434388,0.707302220316392
"86","P62249",0.0652565792833123,0.707302220316392
"87","P37837",0.0654945097964437,0.707302220316392
"88","Q5SW79",0.0671077847115476,0.707302220316392
"89","P38159",0.0680777085534856,0.707302220316392
"90","Q13011",0.0687465457986008,0.707302220316392
"91","Q99426",0.0698075626364408,0.707302220316392
"92","P27695",0.0702207185928715,0.707302220316392
"93","P63208",0.0741055154380158,0.707302220316392
"94","P28300",0.0744738967644518,0.707302220316392
"95","P17812",0.0747932197486422,0.707302220316392
"96","O75489",0.0755168333720491,0.707302220316392
"97","Q14195",0.0766377250110065,0.707302220316392
"98","Q99439",0.0766816192952874,0.707302220316392
"99","P51911",0.0774720961611859,0.707302220316392
"100","Q13404",0.0808984356551999,0.707302220316392
"101","Q8NBJ7",0.0811290210477964,0.707302220316392
"102","Q96C90",0.0811661690281589,0.707302220316392
"103","P35080",0.082993824516308,0.707302220316392
"104","P68032",0.0839837342193969,0.707302220316392
"105","Q8WX93",0.0843728609755001,0.707302220316392
"106","P16989",0.085603726528194,0.707302220316392
"107","Q92945",0.0856250759455799,0.707302220316392
"108","P49748",0.0862248973086939,0.707302220316392
"109","Q86V81",0.0869408903433981,0.707302220316392
"110","P54727",0.0882828232246742,0.707302220316392
"111","Q13185",0.088604566366067,0.707302220316392
"112","Q06210",0.0886058885785314,0.707302220316392
"113","O43242",0.0898984467611495,0.707302220316392
"114","P25788",0.0907115567447299,0.707302220316392
"115","Q96C19",0.091232082252434,0.707302220316392
"116","P13489",0.0915214243113391,0.707302220316392
"117","Q9UBQ0",0.0920888423724636,0.707302220316392
"118","P05556",0.0923126193616331,0.707302220316392
"119","Q02790",0.0934079744768166,0.707302220316392
"120","Q99613",0.0952187864833586,0.707302220316392
"121","P40121",0.0960352812619242,0.707302220316392
"122","Q92841",0.0966590810810452,0.707302220316392
"123","Q9Y6M1",0.0973886710857332,0.707302220316392
"124","Q99460",0.0979956264254476,0.707302220316392
"125","Q9Y520",0.101268730561418,0.707302220316392
"126","Q9UBS4",0.102022291944131,0.707302220316392
"127","P24752",0.102078346990319,0.707302220316392
"128","Q9UN86",0.102105462011922,0.707302220316392
"129","Q15365",0.102121786368244,0.707302220316392
