"","ctr_1","ctr_2","ctr_3","ctr_4","mg_1","mg_2","mg_3","mg_4"
"A0AVT1",7.34963571541406,7.33480528501201,7.27804609992215,7.15321136514136,7.29374648723619,7.56080784391398,7.24925943762998,7.29977215593543
"A6NDG6",6.86968006704581,7.0163720246305,6.93891139804429,6.88047106282161,6.70043860804742,6.98418525500219,6.92485586472287,6.98962220527801
"A6NHL2",7.24374249250528,7.43817994373749,7.49645035877528,7.31177171676304,7.1604251288746,7.40657051286889,7.4054069895367,7.48349932936244
"C9JLW8",7.02880148423296,7.30017952802926,7.3609095772229,7.12124797334092,6.95669996687102,7.38727043754898,7.48512853769092,7.09346511440106
"O00116",6.96193038021248,6.9051384834464,6.94407552031652,6.99514805468806,7.21340790193688,7.02062699832164,6.98760366492239,6.92221633183642
"O00151",7.24643498352869,7.2501321046155,7.25822440068698,7.06260275878175,7.22233210599531,7.26403571012018,7.29341306465669,7.33466091806434
"O00154",8.13659331204854,8.0228570511543,8.01206870063032,7.84317381375756,8.05668661289197,7.9980094132513,7.8532859177883,8.13822638503828
"O00159",8.5711833291916,8.40375478601734,8.24465121580218,8.1596350394001,8.32634446229126,8.41621435062461,8.37636350912693,8.23702072984085
"O00203",7.32639693121749,7.2109812751704,7.07529551606049,7.14931430070303,7.42641963801255,7.39188277490602,7.13523820462386,7.16888317474657
"O00231",8.21812323193496,8.01983233696279,8.234372773929,7.90834342448168,8.19308502691067,8.15210992285692,7.9230463651112,7.78432914046954
"O00232",7.7828484671818,7.99808187860852,7.83882115642485,7.57161378919381,7.47171332086829,7.55131643690859,7.66197195543887,7.87446934769436
"O00267",6.99848526493729,6.98236702027005,7.26596902335144,7.08460018491605,7.05636233369702,7.06489626138394,7.10194712686441,7.08916249603996
"O00273",7.31213901498592,7.42300424052189,7.42459400876784,7.51636465941514,7.21819301119256,7.26264343202234,7.49272528107784,7.42675819918944
"O00299",8.7072525999679,8.89378977360206,8.90883653610695,8.7416441166678,8.70410847045004,8.73893254059911,8.75278642681643,8.83904244572609
"O00303",8.17368487964359,8.23850310726731,8.21637597193554,8.05417081312865,7.93305029914571,8.06996270239453,8.14509365378298,8.09651260013351
"O00410",8.63800077719619,8.67966409712425,8.63587489929165,8.43196749825803,8.48317513744775,8.4729275864304,8.55779478369597,8.59587617093118
"O00429",7.43216329632178,7.73416537687869,7.35658610582029,7.32925035140405,7.48316291019096,7.54029719519975,7.46687733371386,7.42320230770658
"O00442",7.13012114571877,7.0506433752802,7.13904750376055,6.91712789859009,7.12003974379315,7.00538109303456,7.05755626914221,7.08886742575393
"O00469",8.6932490525372,8.60418641268166,8.50941038879484,8.50214055754352,8.51993262797019,8.49853312809188,8.34662224680921,8.41037124305181
"O00505",7.50352303687307,7.47968142359785,7.49308788939058,7.50763041163445,7.52839770196847,7.45114846458567,7.38884289730961,7.42559076645812
"O00560",7.24305965545082,7.38851790071744,7.21677937545201,7.19820230848788,7.19380016626797,7.13135510336761,7.23596677784115,7.20089294631399
"O00567",7.7264946020432,7.72765847227315,7.51241946569342,7.46630183947751,7.50748243299516,7.43816737029814,7.44061822485464,7.49928925220159
"O00571",8.23994160477144,8.33914310342305,8.15698665848615,8.07051948941404,8.19766059108491,8.37496874863785,8.28226301032442,8.2273671347232
"O00622",7.00965307669298,6.9608132354215,7.01656305498354,6.9426206067991,6.8142497974569,7.02160971278715,6.94358978897816,7.00985541394561
"O00629",7.46510695646741,7.27314027858205,7.2166361466959,7.20232312406597,7.63826925474326,7.24749367776173,7.01630787556659,6.75555696080848
"O00743",6.80393916042328,6.81572619069014,6.75375140387967,6.76213239965812,6.85414610131403,6.87703721008992,6.66119984094861,6.8340109378524
"O00764",7.66128335615453,7.69283153179054,7.70002333152617,7.77706644219036,7.41965485554551,7.60016285766558,7.78616528660318,7.8176439337605
"O14497",6.45792000572506,6.36751013690842,6.33193362423259,6.57434719526874,6.63020352000792,6.4303608504362,6.38442250782002,6.65644809071204
"O14530",7.03057249409452,6.94401647986859,6.9609452995417,6.90393373506781,7.0544075551095,6.92213317163649,6.9144969993179,6.85527049491378
"O14558",7.9365355182518,7.98742686114979,7.88060901521227,7.85348666520685,7.9622767122847,7.91143837620083,7.91564465238354,8.0383434367347
"O14579",8.23627687202655,8.21397259998645,8.21203649923812,7.80003293615403,8.05801383264924,7.9783646200652,8.18485132041177,8.11816698995076
"O14737",7.89850986720547,7.83695184591923,7.87886015462161,7.82901454346607,7.82527676004198,7.78122918860459,7.66829559763067,7.72833537285057
"O14744",7.01233392994495,7.06496674032496,7.05140189648414,7.1025541491536,6.97523459541687,7.17438497673859,7.08644824934233,7.0670983493601
"O14776",6.95393406919586,6.91907771673216,6.95047312486582,6.96112441546883,6.91702416289635,7.02399152880006,6.96319425296611,6.86061043596077
"O14818",7.90799844118659,8.1353551816638,8.00856012141617,8.02493125332008,8.005489065,8.03776315636787,7.79299174658295,8.10001927026141
"O14907",7.28701786510108,7.23005004498332,7.37788640787993,7.41551719254586,7.22555103189588,7.36875882380028,7.36871220026105,7.36512176364327
"O14908",6.91154174123329,6.78257536843327,6.68372492820282,6.87800071286603,6.9878912646058,6.88273576434646,6.73217418293948,6.80607764081733
"O14929",7.17345691969968,7.13082936452875,7.10019897298463,7.12645445074708,6.90545700193236,7.04303167261841,6.89565625582925,7.08781365923989
"O14974",7.40986696035968,7.38372457293839,7.42320425588528,7.34359607201826,7.40443675541756,7.31470972552513,7.22230582734489,7.23209147101568
"O14979",7.62990405724319,7.68641119325931,7.67348423133535,7.45852533294106,7.42130959904284,7.41577057562036,7.67406836639498,7.64079997102913
"O14980",8.24005837106883,8.15374958917703,8.01513584244188,7.56294236146286,8.05606063446654,7.82854621782924,7.51269798517833,8.08295950241515
"O15067",7.29905768132515,7.33222652579159,6.88541949493401,7.30852375055712,7.26245589824408,7.29584201255557,7.18347370523095,7.1877003138824
"O15116",7.32991335361597,7.29398519689325,7.28692566945697,7.36434192918323,7.26250446417135,7.21035624743634,7.37953221022009,7.41732912348876
"O15143",7.65723453673472,7.72381740517119,7.70531860002221,7.73478704606383,7.99397342587913,7.71837730587591,7.62565735454371,7.41037705372235
"O15144",8.15991779774583,7.97355267411417,7.92358214463844,7.46983255669238,8.31429772759715,7.87342100146189,7.81594082851526,7.91610353534554
"O15145",8.06658193499728,7.9398128151685,8.00799051508443,7.74373040589701,7.92401615895152,7.83006418592981,7.79020501060443,7.80412904043097
"O15160",7.04779254475551,7.05490003440668,7.06296251140376,6.85742098469293,6.82803750789837,7.06385571965278,6.96298506082129,6.99145269948036
"O15212",7.67214282386723,7.70193332178398,7.72239645939755,7.76479342360779,7.54057011486338,7.63723280593515,7.53399694279121,7.68723322091692
"O15231",7.04594706729155,7.32816937156106,7.34021259070309,7.1154248483389,7.17672767111556,7.08559818268349,7.02958548839162,6.83998685161953
"O15355",7.47796323008294,7.59611775659384,7.54373473050101,7.38969660389319,7.06535748062166,7.43618708131672,7.51862864158472,7.41182774885356
"O15371",7.71837111812521,7.97289303459142,7.39216283303081,7.45784808339627,7.58027204829157,7.34335079214182,7.52617555624605,7.50567776430029
"O15372",7.74665857807966,7.81998808401401,7.60724900464935,7.29232363589824,7.39161787321888,7.37637753964708,7.4619240102429,7.43742408130572
"O15460",8.03103368940939,7.97624371733239,7.94356030952397,7.93752861680754,7.96203859239917,7.83092221700355,7.93493391628918,7.91571871210391
