"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","mg_1","mg_2","mg_3","mg_4","mg_7"
"A0AVT1",7.38479281647307,7.36989144446785,6.97687399812431,7.1874288671508,7.23850517615333,7.32863624127023,7.59697509025774,6.99656746319721,7.33469073385294,7.29203804776553
"A6NDG6",6.90254129251495,7.04993495344618,6.97210379270257,6.91338390719319,6.76484218508531,6.73249026426608,6.86050435605946,7.15793759367438,7.34279443664776,7.05588159948775
"A6NHL2",7.27839305162353,7.11298576857582,7.53230975005023,6.73945778569336,6.816658098045,7.19467713803928,7.13128431167698,7.44083087338557,7.51929676917918,6.99361542450354
"C9JLW8",7.06242386956924,7.33510005461776,7.39612060698183,7.15531257794983,6.93551647042956,6.98997745343537,7.42260756490871,7.52093377085199,7.12739681925585,6.87919710921898
"O00151",7.2810984222212,7.28481322854639,7.29294423424673,7.09638683306035,7.29028311408132,7.19692564745677,7.37807888132104,7.32830122375845,7.36974638693856,7.27800129681406
"O00154",8.17551483747162,8.06123451733782,8.05039456056499,7.88069176227512,7.79834849169308,8.09522590333003,8.0362680203579,7.89085223771869,8.17715572229235,7.93272083454657
"O00159",8.61218372297544,8.44395428266281,8.28408963795179,8.19866678529783,7.63209329003978,8.36617366540387,8.45647344779846,8.41643197915734,8.27642265143771,8.0293143772721
"O00203",7.36144286917725,7.24547512047679,7.10914030634837,7.18351316104183,7.15761409657499,7.46194403620452,7.42724196545593,7.1693697317299,7.08322934571682,6.90134840290871
"O00231",8.2574347570456,8.05819533437716,8.27376202898603,7.9461731128839,7.50227728464791,8.2322767813635,8.19110567223821,7.96094638526721,7.82156560454274,7.42399619842041
"O00232",7.82007784843044,8.03634083235433,7.87631828393582,7.60783272595121,6.92633609419407,7.50745438212318,7.58743828095376,7.69862312194279,7.91213699890358,7.90359121782695
"O00273",7.34711674997329,7.45851230110484,7.46010967403285,7.55231931106859,6.9345602420945,7.2527213539546,7.29738440408981,7.5285668533835,7.46228421689427,6.85208132864339
"O00299",8.74890388330449,8.93633336051922,8.95145209945539,8.78345991237957,8.29775282613498,8.74574471379234,8.78073536544299,8.79465552194862,8.88132414791679,8.30078596836327
"O00303",8.21278383317887,8.27791211984052,8.25567913899978,8.09269806919794,7.73330850674123,7.97099817328163,8.10856549922098,8.18405584072792,8.13524239882428,7.78485300933922
"O00410",8.67932079332092,8.72118341041225,8.67718474624511,8.47230195086783,8.12607619312416,8.52375454262604,8.51345797228301,8.59873113315636,8.63699468332199,8.3037615932687
"O00429",7.46771516939596,7.77116188177918,7.39177645418399,7.36430993874533,7.17826295656429,7.51895874074117,7.57636632852437,6.95478761044171,7.4587113157471,7.4595096644133
"O00442",7.16422819529095,7.08437024165481,7.17319725271048,6.95021609152717,6.97015954597768,7.15409856881652,7.03889144655157,7.09131620345617,7.12277713749087,6.59603397414794
"O00469",8.73483334967866,8.64534467724801,8.55011529072136,8.54281068411492,8.53446530179936,8.56068786319761,8.53918599846628,8.38654844903132,8.45060238962628,8.29354048792236
"O00505",7.53941626041784,7.51546060040075,7.52893119623896,7.54354328287268,6.72946297241678,7.56440991387517,6.88404759080026,7.42418754655599,7.46111119972963,7.09050236203633
"O00560",7.277706948207,7.42386099533737,7.25130095606468,6.94271647527348,6.96128414900175,7.28976473331143,7.16546805559611,7.27058014170281,6.96994924827147,7.15531859168647
"O00567",7.76345441366846,7.76462385129044,7.54835524544904,6.92242552723164,7.13888548248679,7.54339459637518,7.4737479639571,7.47621054221592,6.95786804034009,7.02007154674625
"O00571",8.27935749842068,8.37903352904208,8.19600573581104,8.10912494964019,7.95627278630301,8.23687423282281,8.41503054680894,8.32188134910013,8.26672287819201,8.15571014122268
"O00629",7.50081641607157,7.30793146248444,7.2511570421715,7.23677555296683,6.84803952416884,7.67480703899586,7.28216218073519,7.04987049752418,6.78787227655712,6.85662155041811
"O00743",6.83648591320461,6.84832932692098,6.7860580827176,6.79447916912462,6.85472975544156,7.2242638726282,7.1820632546478,6.69306379789159,6.86670153946638,7.22607217343844
"O00764",7.69793122873265,7.72963031557596,7.7368565174017,7.81426816502913,7.60938540991977,7.45514689429137,7.0522877976621,7.82341053391105,7.85503975968508,7.9248646783075
"O14530",7.06420335108506,6.97723329476817,6.9942430937234,6.93695881351074,7.09555368367866,7.08815242749907,6.95524530737797,6.94757260730585,6.88806279196207,7.11742857343595
"O14558",6.87624972993807,7.11870278419457,7.91830603562015,7.89105394541575,8.34244887047819,6.90683462307072,6.81706483601816,7.95350926632726,8.07679498229357,7.79054466762964
"O14579",8.27567523536755,8.25326427048218,8.25131890836468,7.83734451958733,7.85887077308191,8.09655947186443,8.01652925598655,8.22400368879668,8.1570003727647,7.98368647239642
"O14737",7.93629251662776,7.87444003155322,7.91654880932662,7.86646476088568,7.38402332810822,7.86270909771425,7.81845082400802,7.70497701337906,7.76530398983269,7.39268783155929
"O14744",7.19647037034918,7.09876212274742,7.08513239125717,7.11012931602402,7.2007243428939,7.00860074267599,7.20870376306082,7.12034638890986,6.97787708376891,7.00939749755833
"O14745",7.03281723348227,6.96917577424336,7.13510992483222,7.25415151804251,7.29417616432674,7.13812770897164,6.81791565107815,7.23727288162363,6.75093242859083,7.08657273011088
