"","Protein","P.Value","adj.P.Val"
"1","P50579",0.00078668114658251,0.743294101428627
"2","O75506",0.00229220146478914,0.743294101428627
"3","P35269",0.00259268202925052,0.743294101428627
"4","P22695",0.00298834686124182,0.743294101428627
"5","Q5T4S7",0.00435431546427169,0.743294101428627
"6","P62330",0.00549966269349369,0.743294101428627
"7","Q13263",0.00552396135484047,0.743294101428627
"8","Q9Y2W1",0.0055471487150782,0.743294101428627
"9","P51812",0.00737124310385987,0.743294101428627
"10","Q9BT78",0.00953649095591869,0.743294101428627
"11","Q07065",0.00987488941189955,0.743294101428627
"12","P40121",0.0101692390472971,0.743294101428627
"13","Q02790",0.0106607683487085,0.743294101428627
"14","O00629",0.0118979774432144,0.743294101428627
"15","P63313",0.012462267947331,0.743294101428627
"16","Q8WWM7",0.0133996684342927,0.743294101428627
"17","Q13200",0.0146163327844228,0.743294101428627
"18","P16989",0.0157121746519219,0.743294101428627
"19","P12270",0.0159522106412756,0.743294101428627
"20","Q15459",0.0161004017088363,0.743294101428627
"21","Q02218",0.0167514341424435,0.743294101428627
"22","P62316",0.0169175005297942,0.743294101428627
"23","Q92688",0.0172292268271415,0.743294101428627
"24","P62854",0.0177466679553514,0.743294101428627
"25","P63208",0.0183228445873005,0.743294101428627
"26","P31949",0.0183396096651382,0.743294101428627
"27","Q92804",0.018614871123311,0.743294101428627
"28","P17096",0.0200494370239449,0.743294101428627
"29","Q07157",0.0203678017011008,0.743294101428627
"30","Q6NYC8",0.0208157445891429,0.743294101428627
"31","P49591",0.0214453074536293,0.743294101428627
"32","Q93062",0.0218501809906078,0.743294101428627
"33","P55209",0.0224242285317851,0.743294101428627
"34","P09382",0.0231195956323046,0.743294101428627
"35","Q14204",0.0244589519376866,0.743294101428627
"36","P14866",0.0278259335588726,0.743294101428627
"37","P05787",0.027989152987328,0.743294101428627
"38","O15143",0.0280522450488608,0.743294101428627
"39","Q9Y230",0.0323402222417022,0.743294101428627
"40","P50995",0.0328123110966413,0.743294101428627
"41","Q99879",0.0330414302038012,0.743294101428627
"42","P20700",0.0331906411527272,0.743294101428627
"43","Q01995",0.0341566309445363,0.743294101428627
"44","P13667",0.0344701459150946,0.743294101428627
"45","Q86UP2",0.0347567983656042,0.743294101428627
"46","Q9UBR2",0.0348522259370872,0.743294101428627
"47","Q92900",0.0360361769881853,0.743294101428627
"48","O43294",0.0362297309678361,0.743294101428627
"49","Q15435",0.0377875284281176,0.743294101428627
"50","O75534",0.0383663249836332,0.743294101428627
"51","P52788",0.0385633766585996,0.743294101428627
"52","P34932",0.0385887616314991,0.743294101428627
"53","Q9BXP5",0.0388322836145979,0.743294101428627
"54","P15586",0.0394357869580021,0.743294101428627
