"","Protein","P.Value","adj.P.Val"
"1","P62888",0.00077273126931149,0.809045668820417
"2","Q07020",0.00180700158936653,0.809045668820417
"3","Q16629",0.00415456667072984,0.809045668820417
"4","P54886",0.00436879867326667,0.809045668820417
"5","Q7L576",0.00655082921985486,0.809045668820417
"6","Q9Y520",0.00715302549546388,0.809045668820417
"7","P55145",0.00858456290705307,0.809045668820417
"8","P30049",0.0089416005445352,0.809045668820417
"9","P40855",0.0109580840923799,0.809045668820417
"10","P35222",0.0110168775743592,0.809045668820417
"11","P63208",0.0120694517880585,0.809045668820417
"12","Q99613",0.0123610955804312,0.809045668820417
"13","Q14203",0.0124176264650436,0.809045668820417
"14","Q8N1F7",0.0140987812284827,0.809045668820417
"15","P52943",0.0158894245880038,0.809045668820417
"16","P62854",0.0167156624485146,0.809045668820417
"17","Q07065",0.0170257876959113,0.809045668820417
"18","Q14444",0.0170419945261312,0.809045668820417
"19","Q15637",0.0170517294099285,0.809045668820417
"20","P39748",0.0173816113378015,0.809045668820417
"21","P15586",0.0178061994615545,0.809045668820417
"22","Q9Y2W1",0.01842202640529,0.809045668820417
"23","Q02878",0.0184859934539441,0.809045668820417
"24","P00505",0.0192537458210154,0.809045668820417
"25","Q7Z2W4",0.0217674416845756,0.809045668820417
"26","P05787",0.0233224434018701,0.809045668820417
"27","P61088",0.0235989694417247,0.809045668820417
"28","P31930",0.0236271456085612,0.809045668820417
"29","P50579",0.0244534238778862,0.809045668820417
"30","P31949",0.0251777712269494,0.809045668820417
"31","P09382",0.0255118817554626,0.809045668820417
"32","Q13200",0.0257774049105497,0.809045668820417
"33","P16989",0.0264654288018743,0.809045668820417
"34","Q6NYC8",0.0268003853633013,0.809045668820417
"35","P40925",0.0271399396434353,0.809045668820417
"36","Q01995",0.0272128833584999,0.809045668820417
"37","P51148",0.0281312289284605,0.809045668820417
"38","Q14566",0.0288745192144269,0.809045668820417
"39","P47914",0.0292865795793461,0.809045668820417
"40","P52926",0.0296133970696645,0.809045668820417
"41","P63313",0.0301309161552166,0.809045668820417
"42","P55209",0.0311007888149179,0.809045668820417
"43","Q9UHV9",0.0313995038697913,0.809045668820417
"44","P61106",0.0320348009226584,0.809045668820417
"45","Q99879",0.0338330954085339,0.809045668820417
"46","Q9P0K7",0.035032401666727,0.809045668820417
"47","Q15847",0.0351325535219388,0.809045668820417
"48","Q96C19",0.0352255096221592,0.809045668820417
"49","Q02790",0.0352733183660745,0.809045668820417
"50","P17096",0.0358407222272487,0.809045668820417
"51","Q04323",0.0388569023818285,0.809045668820417
"52","P05976",0.0389190926108133,0.809045668820417
"53","P13667",0.0390094913572849,0.809045668820417
"54","Q99426",0.039370781491834,0.809045668820417
"55","P50991",0.039798663767861,0.809045668820417
"56","Q9NSD9",0.0400677645553724,0.809045668820417
"57","O15371",0.0401929780096209,0.809045668820417
"58","Q9Y5S9",0.0408220693936646,0.809045668820417
"59","P07339",0.0432233924835764,0.809045668820417
"60","O75340",0.0432880680881455,0.809045668820417
"61","Q96JY6",0.0439360718010409,0.809045668820417
"62","P07858",0.0442479901262801,0.809045668820417
"63","Q99733",0.0460224060976569,0.809045668820417
"64","P25398",0.0463820976699287,0.809045668820417
"65","P14866",0.0465250252128438,0.809045668820417
"66","Q9NTK5",0.047457398969621,0.809045668820417
"67","P98175",0.0482702373338419,0.809045668820417
"68","P08107",0.0504889098268899,0.809045668820417
"69","P50995",0.0528410916661777,0.809045668820417
"70","P34932",0.0529500436534348,0.809045668820417
"71","P82979",0.05399252095573,0.809045668820417
"72","Q9Y376",0.0545719312741116,0.809045668820417
"73","Q13501",0.0572387535474894,0.809045668820417
"74","P62328",0.057335097975327,0.809045668820417
"75","P43243",0.0593152988512407,0.809045668820417
"76","Q9NQW7",0.0605759036506673,0.809045668820417
"77","Q9P287",0.0610358985079713,0.809045668820417
"78","Q96AT9",0.0616682216858904,0.809045668820417
"79","P67809",0.0633893871928414,0.809045668820417
"80","P14625",0.0637623336121285,0.809045668820417
"81","Q05682",0.0642742727141279,0.809045668820417
"82","P46821",0.0660573298493423,0.809045668820417
"83","P67936",0.0670661536552751,0.809045668820417
"84","O95747",0.0672377612858572,0.809045668820417
"85","Q9H299",0.0680214104495549,0.809045668820417
"86","P05387",0.070390613827618,0.809045668820417
"87","O43852",0.070915560259863,0.809045668820417
"88","Q96CW1",0.0711001425464795,0.809045668820417
"89","Q13867",0.0716967929145431,0.809045668820417
"90","P22061",0.0719043092446703,0.809045668820417
"91","P49756",0.0722389058707678,0.809045668820417
"92","P56537",0.0732719744811498,0.809045668820417
"93","p_0",0.0734123788732021,0.809045668820417
"94","Q12906",0.0750904655324386,0.809045668820417
"95","Q9UG63",0.0754130170679039,0.809045668820417
"96","P25789",0.0762481801067116,0.809045668820417
"97","Q13813",0.0777555918475575,0.809045668820417
"98","Q6DKJ4",0.0777808242685859,0.809045668820417
"99","Q01518",0.0780897090737428,0.809045668820417
"100","Q9UBQ5",0.0781301815520742,0.809045668820417
"101","P62424",0.0784957082837863,0.809045668820417
"102","Q99627",0.0794394634041298,0.809045668820417
"103","Q9UKY7",0.0796977498422553,0.809045668820417
"104","P07108",0.080896999243173,0.809045668820417
"105","Q9H773",0.0810369301860612,0.809045668820417
"106","Q7Z417",0.0827518165329807,0.809045668820417
"107","Q92747",0.083764807060741,0.809045668820417
"108","P13489",0.0840323781945718,0.809045668820417
"109","Q14103",0.0840591226174271,0.809045668820417
"110","P07602",0.0844611636262625,0.809045668820417
"111","Q13126",0.0846914132629268,0.809045668820417
"112","O60664",0.0863210348157041,0.809045668820417
"113","Q15459",0.0876075604395685,0.809045668820417
"114","P06753",0.0881495150703492,0.809045668820417
"115","P30086",0.0894372107125014,0.809045668820417
"116","P15880",0.0897997458173458,0.809045668820417
"117","P46459",0.0916101402591603,0.809045668820417
"118","Q09666",0.092014741921774,0.809045668820417
"119","Q16222",0.0924359707457505,0.809045668820417
"120","Q9BT78",0.0926043200080951,0.809045668820417
"121","P62829",0.093371790712629,0.809045668820417
"122","Q01130",0.0933902160965862,0.809045668820417
"123","P27348",0.093896998685524,0.809045668820417
"124","O43399",0.0948079587363101,0.809045668820417
"125","O43865",0.0952797811413729,0.809045668820417
"126","Q9BQG0",0.0954956121820934,0.809045668820417
"127","P80723",0.0956560641274811,0.809045668820417
"128","Q9H307",0.0959430867389208,0.809045668820417
"129","P27816",0.0960018104740576,0.809045668820417
"130","Q08945",0.0965075679147649,0.809045668820417
"131","P60900",0.0967750088328841,0.809045668820417
"132","P52655",0.0971187240603822,0.809045668820417
"133","Q9Y285",0.0976582902872037,0.809045668820417
"134","P49585",0.0983075900219692,0.809045668820417
"135","P22102",0.0989383025726455,0.809045668820417
"136","P49411",0.0991337162069036,0.809045668820417
"137","O43396",0.100157372754628,0.809045668820417
"138","P07951",0.10074752064827,0.809045668820417
"139","P26639",0.101444547666341,0.809045668820417
"140","P18669",0.102062184886552,0.809045668820417
"141","P09651",0.102176814853602,0.809045668820417
"142","P60903",0.103561617642669,0.809045668820417
"143","P09012",0.104073830211593,0.809045668820417
"144","Q7Z4V5",0.104567110203276,0.809045668820417
"145","Q13404",0.105347521113329,0.809045668820417
"146","P51911",0.105556389952152,0.809045668820417
"147","P25787",0.107204358928001,0.809045668820417
"148","Q7L2H7",0.107683216559782,0.809045668820417
"149","P04179",0.107839468532078,0.809045668820417
"150","P07900",0.107853022194093,0.809045668820417
"151","Q6PKG0",0.110560227714192,0.809045668820417
"152","P35268",0.111548053413599,0.809045668820417
"153","P07237",0.11256711507256,0.809045668820417
"154","Q01844",0.112860952969901,0.809045668820417
"155","P49458",0.114018696229255,0.809045668820417
"156","P62316",0.114541085734891,0.809045668820417
"157","P17174",0.114831613756285,0.809045668820417
"158","Q9UBQ0",0.115099325914258,0.809045668820417
"159","Q9Y2V2",0.11632746088967,0.809045668820417
"160","O43237",0.116447515538458,0.809045668820417
"161","Q5JRX3",0.117510565737543,0.809045668820417
"162","P47897",0.118570493427103,0.809045668820417
"163","Q4KWH8",0.120962350682688,0.809045668820417
"164","Q3SX28",0.12102286931253,0.809045668820417
"165","Q9Y6H1",0.121503031767585,0.809045668820417
"166","Q8WUH6",0.121686596280428,0.809045668820417
"167","p_9",0.122194597933239,0.809045668820417
"168","P62269",0.123255187048566,0.809045668820417
"169","P62158",0.124418212976002,0.809045668820417
"170","Q16181",0.124490833420528,0.809045668820417
"171","O75131",0.124844881925564,0.809045668820417
"172","Q9Y4L1",0.124879108423479,0.809045668820417
"173","P11047",0.125197782584221,0.809045668820417
"174","P14314",0.125543009663403,0.809045668820417
"175","P55010",0.126020147653732,0.809045668820417
"176","Q14247",0.128697419052947,0.809045668820417
"177","Q9Y237",0.128954678835442,0.809045668820417
"178","O75822",0.130143486168054,0.809045668820417
"179","Q5SSJ5",0.130933785090854,0.809045668820417
"180","P09936",0.132767159714219,0.809045668820417
"181","Q99798",0.133217381285296,0.809045668820417
"182","O60711",0.133513272941609,0.809045668820417
"183","P12268",0.133964774675117,0.809045668820417
"184","P30050",0.135263877199917,0.809045668820417
"185","Q6NZI2",0.135815082001858,0.809045668820417
"186","Q5T4S7",0.136051439028469,0.809045668820417
"187","Q9HB07",0.13630497829584,0.809045668820417
"188","P62861",0.136681060701205,0.809045668820417
"189","O43707",0.136701303167111,0.809045668820417
"190","P62258",0.136797476158761,0.809045668820417
"191","P46108",0.136881254709848,0.809045668820417
"192","P22695",0.138743545827545,0.809045668820417
"193","Q92804",0.139578171608597,0.809045668820417
"194","P30566",0.141742139000427,0.809045668820417
"195","P50914",0.14219644927176,0.809045668820417
"196","P40222",0.142330500260784,0.809045668820417
"197","P62191",0.142903390637404,0.809045668820417
"198","P52815",0.143425245929245,0.809045668820417
"199","P60228",0.14403495978034,0.809045668820417
