"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9"
"A0AVT1",7.458938842746,7.44388785550476,7.43356273030092,7.25959328704215,7.28897090987369,7.39401317378617,7.33240299462998,7.40221843494774,7.67325150432051,7.43628358220789,7.40833371685484,7.29144902011476,7.13614726652891,7.39161637516916
"C9JLW8",7.13333319347276,7.40874714735015,7.4703803684229,7.22715453852755,7.16048670937884,7.19810436129776,7.79341505321613,7.06015938877058,7.49713326511437,7.59644670220013,7.19895849538565,6.94826676929923,6.88215763883424,7.13475969755196
"O00151",7.35420331877368,7.35795542311579,7.36616806709324,7.16763715756414,7.3634802283061,7.36105885789343,7.4096893715243,7.39014973550231,7.408033003239,7.40188005373736,7.44374134154471,7.35107509709242,7.23102771929486,7.74715359585233
"O00154",8.25760000262096,8.14217226619132,8.13122347227984,7.95981679570207,7.87664676850603,7.70189304348904,7.43506545783122,8.17650493815612,8.11695509643194,7.97007928604273,8.25925736252666,8.01236825892686,7.30574463442494,7.78696285911005
"O00159",8.69865320376664,8.52873467822017,8.3672649338887,8.28098440448813,7.70872230369856,7.74761391618342,7.34944499625821,8.45017311505874,8.54137954036184,8.50093604070107,8.3595209680202,8.10993163622117,7.48857086297332,7.56761851835611
"O00203",7.43535445342199,7.31822234602446,7.1805186803979,7.25563826580881,7.22947916524317,7.00142432260809,7.79341505321613,7.53686468899811,7.50181419674151,7.24135283128327,7.24893829566952,7.11860947040658,7.2082277330638,7.21751563747949
"O00231",8.34034242820967,8.13910256871992,8.35683363194403,8.02595560306871,7.57760289803729,7.27444027637681,7.24755560444333,8.31493185723177,8.27334737508238,8.0408772045209,7.90009698967737,7.49853584101544,6.85864837373799,7.60154213657009
"O00232",7.89859429594846,8.1170286394875,7.95539940603744,7.68421815465548,7.54602614587175,7.50386462794581,7.16942579890173,7.58283197546853,7.66361894195605,7.77592011949587,7.9915777540304,7.98294617017989,6.75836641080464,7.54211252824161
"O00273",7.42088449473096,7.53339849802036,7.53501190915798,7.62814736474275,7.00418576831842,6.76735641160273,7.79341505321613,7.325541334342,7.37065281786878,7.60415642367765,7.53720828522665,7.12812815864083,7.79560982290163,7.26471453694639
"O00299",8.83674608461091,9.02605742246645,9.04132795908229,8.87164906888207,8.38106530548856,7.97738966108909,7.93546474902119,8.83355519587908,8.86889716649575,8.88295708647419,8.9704958972096,8.38412890157642,8.07840068809261,7.98919786286393
"O00303",8.29524319270354,8.36102539123163,8.33856918311526,8.17395172364294,7.81095375826927,8.04428342882953,7.46899496699246,8.05102991617078,8.18997846847855,8.26622676068009,8.21692321393047,7.8630157865635,7.40002648915278,7.74650822716085
"O00410",8.76646435490294,8.80874728801177,8.76430686113167,8.55736696740288,8.20766497616588,8.23504741179993,7.84961711089747,8.60933616203881,8.59893621035603,8.68506554501564,8.72371327524785,8.38713440284641,7.8022164190618,7.96188729816154
"O00429",7.54269376648181,7.84918719506519,7.46599259873892,7.43825030941926,7.30198417919047,7.14200214208304,7.17793237039863,7.59445184206318,7.65243582306659,7.53793238286528,7.53359951084256,7.53440587522195,7.45052449642873,7.12779691293419
"O00442",7.23615967193419,7.15549991517702,7.24521878197722,7.01999880821698,7.05299248547302,6.86121712062011,7.79341505321613,7.22592834029763,7.10956449630378,7.16251561698044,7.19429243032273,7.19638364416956,7.79560982290163,7.20800453760643
"O00469",8.82253427767088,8.73214710617301,8.63596158170575,8.62858363417197,8.62015446115953,8.29350582728383,8.27651641655055,8.64664030668433,8.62492255535104,8.47075246898081,8.53544953461397,8.37681067385654,8.10752924761006,8.4021948564637
"O00505",7.61511476273473,7.59091857911174,7.6045244246689,7.6192832220075,7.33672523845047,7.35582162615676,7.29554356522052,7.6403593616325,7.55032709081493,7.49872911035642,7.53602349053979,7.2635525747045,7.79560982290163,7.31856244896326
"O00567",7.84140234114999,7.84258352035428,7.62414349845161,7.59309521220666,7.21056250900583,7.40100393007163,7.37870431132526,7.61913304264307,7.54878713251125,7.55127443595828,7.58877625232101,7.35101863423333,7.29433174276963,7.33796406539422
"O00571",8.36248528194245,8.46316209644078,8.27829663708926,8.19054353598499,8.0361566809103,8.25102231482095,7.88771990751134,8.31957546878861,8.4995205374583,8.40543608766696,8.34972380549632,8.23759645996362,7.90187974033239,7.9121610140992
"O00629",7.57612736180507,7.381305772595,7.3239613162953,7.30943543166846,7.19980162817128,7.02612649790769,6.68969441875302,7.75186491434799,7.355277757813,7.12065378097178,6.85602500184851,6.92546454361445,6.86676672425154,7.24565937527048
"O00764",7.77522127942434,7.80723863671671,7.81453739225705,7.89272628119666,7.6857864281401,7.67498426808426,7.72512007962829,7.52999930128912,7.74066135527081,7.90196044281267,7.93390723760502,8.00443322400001,7.66630366959558,7.68316268891009
"O14530",7.13513054163514,7.04728727407985,7.06446785765038,7.00660842227072,6.9100344270497,7.06615932804539,7.79341505321613,7.15932007555326,7.02507851923805,7.0173287824453,6.95722146674618,6.98752645517172,6.52030285123616,6.98418817959509
"O14558",8.09573335113173,8.14910098651922,7.99780873013645,7.97028301895899,8.42621011449729,8.09385479477567,7.47478324908797,8.00496990825211,8.00416892977004,8.03336541418122,8.15788896391786,7.86876459118903,7.54799546801587,7.743549333438
"O14579",8.35876604761878,8.33613006843274,8.33416517416664,7.9160343308117,7.93777671578035,7.7188213644766,7.35980407082893,8.17785189620735,8.0970181476324,8.30657569978363,8.23889964590317,8.06384561045872,7.46132095248047,7.34975337856622
"O14737",8.0159758020051,7.95350229531257,7.99603386064694,7.94544695000473,7.45816162843597,7.42054909460827,7.16410754272352,7.94165357859868,7.89695093560456,7.78233780633075,7.84327048773675,7.46691312667707,7.28483309784987,7.44027090154297
