"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11"
"C9JLW8",7.14162314987458,7.41735717427275,7.47906202198928,7.2355535287904,7.27343263660711,6.77318689293526,6.71394500426662,7.26767581189092,7.18661968520024,7.06836430671502,7.50584600938423,7.60527486292976,7.20732471780182,6.95634165196957,7.11745817498386,7.22385726402897,7.10066055137277,7.07504513825181
"O00151",7.36274995794351,7.36650642276908,7.37472861101688,7.17596698009292,7.37203764857552,6.90389266723161,7.41830049344655,7.23020639619115,7.69542097168445,7.49642846798884,7.11193681343268,7.41048210011213,7.45239203674066,7.35961810081993,7.23943121074934,7.75615689961033,7.68391999830071,7.69622437889448
"O00154",8.2671965183239,8.15163463830715,8.14067312032661,7.96906724460346,7.88580056190562,6.66126681632399,7.44370607040579,7.13956650681138,7.1904290881999,8.18600720976158,8.12638816257926,7.97934166142999,8.26885580431954,8.02167978016669,7.31423495765246,7.79601242694233,7.4138808337094,7.51951989809034
"O00159",8.70876228655557,8.53864629130869,8.3769888959725,8.29060809622037,7.71768094478235,7.75661775489967,7.10386265929856,7.99869607282326,7.37217366990507,8.45999342834171,8.55130584859398,8.51081534778525,8.36923593050484,8.11935654010027,7.33101585189509,7.5764131766009,7.95081490814475,7.90839135443696
"O00203",7.44399540185089,7.32672717014271,7.18886347310398,7.26407035824856,7.23788085705572,7.00956098198048,7.37339350237522,6.86351661814719,7.18836068615782,7.54562360688174,7.51053238092537,7.24976832199895,7.0690869145255,6.69068114555637,6.80275332669684,6.78314033513625,6.89855498600895,7.16922958308655
"O00231",8.35003510248001,8.14856137340696,8.36654547135867,8.03528291475146,7.58640915956346,7.28289421944987,7.18214338311894,7.28428813225605,7.6125594838333,8.32459500077365,8.28296219149098,8.05022185724494,7.90927803559774,7.50725021527969,6.8666191069775,7.61037621892537,7.51873207848376,7.65172724830798
"O00232",7.90777359552317,8.12646179110241,7.9646447212984,7.69314831840311,6.96082425508864,6.93668488686175,7.17775770008832,7.67212744650616,7.39409078116489,7.59164431393275,7.6725251664637,7.78495685408072,8.00086511372128,7.99222349873219,6.76622060201842,7.02827623782488,7.57102146293968,7.30088405401244
"O00273",7.42950862699223,7.54215338769287,7.54376867384567,7.63701236618952,7.01232563688684,6.77522105048699,7.11533336298795,6.90389098227919,7.05566989540592,7.33405466417454,7.37921857371613,7.61299354420955,7.54596760241839,7.54933807517856,7.74091306064029,7.33251793022374,6.8404979028102,7.32285755164652
"O00299",8.84701565113592,9.03654699592155,9.05183527909139,8.88195919768141,8.39080530558374,7.98666053218078,7.9446868973512,8.39592959766183,8.545277769951,8.84382105413367,8.87920409718978,8.89328035681203,8.9809209002024,8.3938724620097,8.08778894848707,7.99848245677989,8.37636679922759,8.60024657785741
"O00303",8.30488345519303,8.37074210207184,8.34825979662044,8.18345102804689,7.82003120696772,8.05363204007482,7.34676826172518,7.76372402049191,7.7689391838641,8.0603863678021,8.19949639825893,8.27583330191334,8.22647245737012,7.87215373880679,6.26860152161395,7.75551078090785,7.79984334241509,7.72855985015731
"O00410",8.77665224397656,8.81898431591888,8.77449224288805,8.56731185531854,8.21720346020521,8.2446177181573,7.55336057696873,8.15600264961629,8.09006999601007,8.61934144561329,8.60892940769484,8.69515883699604,8.73385148143455,8.39688145610328,7.81128371371877,7.97114015328379,8.09835277428846,8.14548589334773
"O00429",7.55145945858962,7.85830907650154,7.47466915308752,7.44689462324822,7.07521182002086,7.15030217304666,7.19850361754625,7.31675056898595,7.31507566073617,7.60327768447918,7.66132905118595,7.68083605587002,7.54235463412081,7.54316193561127,7.18640135418647,7.13608043538389,7.80571999940371,7.08950390932542
"O00442",7.24456912745378,7.16381563248914,7.25363876548215,7.02815705380605,6.7096231014204,6.86919083911197,6.27445331761767,7.03331483481012,7.06923197813374,7.23432590554224,7.11782683007002,7.17083948754441,7.20265323010198,6.89797891472326,7.16895512790031,6.74387908209733,6.74287303672064,6.91046089236035
"O00469",8.83278732803762,8.74229511368102,8.64599780783713,8.63861128606999,8.6301723171494,8.30314407070548,8.2861349158399,8.94856843500749,8.81447121689688,8.65668894302593,8.63494595255031,8.48059669842501,8.54536895132882,8.38654572945945,8.11695135956898,8.411959412128,8.72447636939189,8.72426142872772
