Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O00151,7.367180223,7.370938948,7.379166084,7.180284855,7.376473502,7.468400725,7.422764184,7.234556908,7.700051409,7.396039128,7.174914629,7.522151279,7.492293477,7.414941086,7.456876241,7.364046482,7.243787273,7.760823883,7.688543516,7.7008553,7.66582415,7.473859573
O00154,8.272171001,8.156539586,8.145571472,7.973862339,7.890545554,7.665671354,7.448185048,7.14386248,7.194755666,7.279743313,7.885550108,8.19093284,8.131277919,7.984142938,8.273831286,8.026506532,7.318636031,7.800703392,7.418341865,7.524044494,7.605890198,7.664321058
O00159,8.714002465,8.543784109,8.382029442,8.295596666,7.722324777,7.761285016,7.436046481,8.003508995,7.659957045,7.5188453,7.483230057,8.46508392,8.556451284,8.515936419,8.374271812,8.124242066,7.47289769,7.580972006,7.95559902,7.913149939,7.484727957,7.5371454
O00203,7.448474554,7.33113576,7.193189108,7.268441247,7.242235987,7.013778729,7.200877496,7.147021058,7.192686019,7.241037371,7.223194755,7.55016391,7.515051569,7.254130605,7.293111396,7.182882184,7.822584319,7.183979276,7.193269349,7.173543404,7.13999186,7.298204625
O00231,8.35505943,8.153464472,8.371579734,8.040117852,7.590974004,7.287276434,7.075190415,7.288671186,7.617140063,7.487709492,7.786904158,8.329604021,8.287946161,8.055065783,7.914037154,7.511767428,6.870750844,7.614955484,7.5232562,7.656331395,7.595002391,7.491745528
O00232,7.912531809,8.131351592,7.969437155,7.697777389,7.535430578,7.562651657,7.182076653,7.676743868,7.398539905,7.554775932,7.468427695,7.596212308,7.677141828,7.789641167,8.005679341,7.997032527,6.770291928,7.497608398,7.575577048,7.305277094,7.557912826,7.331969958
O00273,7.433979062,7.546691602,7.54830786,7.641607659,7.016545047,6.779297792,7.044924502,7.140317081,7.059915386,7.220813587,7.133171601,7.338467663,7.383658748,7.617574384,7.550508112,7.291592166,6.899694487,7.200943404,6.844613922,7.327263813,6.975620547,7.114682006
O00299,8.852339019,9.041984407,9.05728189,8.887303591,8.395854165,7.991466213,7.949467322,8.400981541,8.550419578,8.334074141,8.523532456,8.8491425,8.884546833,8.898631563,8.986324841,8.398923167,8.092655479,8.003295251,8.381406971,8.605421461,8.318786007,8.292220044
O00303,8.309880615,8.37577889,8.353283056,8.18837512,7.824736624,8.058478018,7.650932923,7.768395557,7.773613859,7.381384838,7.835954825,8.06523641,8.204430145,8.280812982,8.231422436,7.876890519,7.672794739,7.760177376,7.804536613,7.733210228,7.651900826,7.869782442
O00410,8.781933273,8.824290817,8.779771972,8.572466922,8.222147862,8.249578615,7.853297404,8.160910226,8.094937899,7.024106062,8.154750684,8.624527819,8.614109516,8.70039083,8.739106757,8.401933972,7.815983868,7.975936495,8.103225662,8.150387141,7.704307191,7.789757536
O00429,7.556003273,7.863037526,7.479166762,7.451375519,7.413851367,7.154604606,7.23843002,7.252486311,7.146641517,7.098013988,6.993641886,7.607852678,7.665938975,7.636091863,7.54689297,7.547700757,7.216899622,7.140374311,7.281019279,7.093769759,7.290307548,7.197959603
O00469,8.838102134,8.74755547,8.65120022,8.643809254,8.635365207,8.308140184,8.291120794,8.953952908,8.819775002,9.044549045,8.948201822,8.661897789,8.640141715,8.485699587,8.550510814,8.391592026,8.121835438,8.417021001,8.729726004,8.729510934,8.991851981,9.171072396
O00487,7.538017101,7.56340805,7.578219765,7.508517974,7.385604779,7.431272212,7.086177585,7.337625916,7.513066439,7.613267724,7.661299958,7.712800787,7.538118239,7.561363111,7.411663483,7.284341984,6.897334696,7.271454622,7.313078099,7.594090022,7.504337213,7.982354684
O00571,8.377241356,8.478095821,8.292904156,8.20499621,8.05033693,8.265581707,7.901638232,8.235223569,7.724621957,7.569951607,7.532457705,8.334255826,8.514518418,8.420267951,8.364457362,8.252132161,7.91582305,7.926122466,8.096056267,7.751199532,7.602141927,7.748909384
