Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O00151,7.367180223,7.370938948,7.379166084,7.180284855,7.376473502,7.35946702,7.422764184,7.234556908,7.700051409,7.396039128,7.174914629,7.281092545,7.28611087,7.414941086,7.456876241,7.364046482,7.243787273,7.760823883,7.688543516,7.7008553,7.66582415,7.473859573
O00154,8.272171001,8.156539586,8.145571472,7.973862339,7.890545554,7.279588151,7.448185048,7.14386248,7.194755666,7.858267066,7.885550108,8.19093284,8.131277919,7.984142938,8.273831286,8.026506532,7.318636031,7.800703392,7.418341865,7.524044494,7.605890198,7.664321058
O00159,8.714002465,8.543784109,8.382029442,8.295596666,7.722324777,7.761285016,6.816571345,8.003508995,6.897126028,6.620738136,7.483230057,8.46508392,8.556451284,8.515936419,8.374271812,8.124242066,7.339543691,7.580972006,7.95559902,7.913149939,7.484727957,7.220409033
O00203,7.448474554,7.33113576,7.193189108,7.268441247,7.242235987,7.013778729,6.697261074,7.19678505,7.192686019,7.40180125,7.291193949,7.55016391,7.515051569,7.254130605,7.227362453,7.354958273,6.747121851,7.459159537,7.006764259,7.173543404,7.13999186,7.716919139
O00231,8.35505943,8.153464472,8.371579734,8.040117852,7.590974004,7.287276434,7.096084569,7.288671186,7.617140063,7.487709492,7.786904158,8.329604021,8.287946161,8.055065783,7.914037154,7.511767428,6.870750844,7.614955484,7.5232562,7.656331395,7.595002391,7.491745528
O00232,7.912531809,8.131351592,7.969437155,7.697777389,7.138758526,6.402768689,7.182076653,7.676743868,7.398539905,7.554775932,7.468427695,7.596212308,7.677141828,7.789641167,8.005679341,7.997032527,6.770291928,6.829910144,7.575577048,7.305277094,7.557912826,7.331969958
O00273,7.433979062,7.546691602,7.54830786,7.641607659,7.016545047,6.779297792,7.064598997,7.099913262,7.059915386,7.322211597,7.25003678,7.338467663,7.383658748,7.617574384,7.550508112,7.002342747,7.016262336,7.238813561,6.844613922,7.327263813,6.975620547,6.956743091
O00299,8.852339019,9.041984407,9.05728189,8.887303591,8.395854165,7.991466213,7.949467322,8.400981541,8.550419578,8.334074141,8.523532456,8.8491425,8.884546833,8.898631563,8.986324841,8.398923167,8.092655479,8.003295251,8.381406971,8.605421461,8.318786007,8.292220044
O00303,8.309880615,8.37577889,8.353283056,8.18837512,7.824736624,8.058478018,6.778929117,7.768395557,7.773613859,7.381384838,7.835954825,8.06523641,8.204430145,8.280812982,8.231422436,7.876890519,7.212258036,7.760177376,7.804536613,7.733210228,7.651900826,7.869782442
O00410,8.781933273,8.824290817,8.779771972,8.572466922,8.222147862,8.249578615,7.346056523,8.160910226,8.094937899,7.024106062,8.154750684,8.624527819,8.614109516,8.70039083,8.739106757,8.401933972,7.815983868,7.975936495,8.103225662,8.150387141,7.704307191,7.789757536
O00429,7.556003273,7.863037526,7.479166762,7.451375519,6.890056911,7.154604606,7.363026288,7.084030382,7.116927414,6.721001558,6.993641886,7.607852678,7.665938975,7.227055338,7.54689297,7.547700757,7.086366864,7.140374311,7.015026065,7.093769759,7.290307548,7.061247626
O00469,8.838102134,8.74755547,8.65120022,8.643809254,8.635365207,8.308140184,8.291120794,8.953952908,8.819775002,9.044549045,8.948201822,8.661897789,8.640141715,8.485699587,8.550510814,8.391592026,8.121835438,8.417021001,8.729726004,8.729510934,8.991851981,9.171072396
O00487,7.538017101,7.56340805,7.786569293,7.361712536,7.280836109,7.229111559,7.540000289,6.871666132,7.513066439,7.200734388,7.661299958,7.712800787,7.09705595,7.141621835,7.078775236,7.284341984,7.182240421,7.271454622,7.313078099,7.594090022,7.504337213,7.982354684
O00571,8.377241356,8.478095821,8.292904156,8.20499621,8.05033693,8.265581707,7.901638232,8.235223569,7.724621957,7.163957779,7.532457705,8.334255826,8.514518418,8.420267951,8.364457362,8.252132161,7.91582305,7.926122466,8.096056267,7.751199532,7.602141927,7.015398027
O00629,7.589495864,7.394330501,7.336884857,7.322333341,7.2060263,7.189943504,7.35546066,6.995550003,7.074111694,7.212860803,7.326710121,7.765543515,7.368256558,7.133218574,6.868122843,6.937684914,7.337053037,7.258444748,7.229172786,7.355347094,7.125808383,7.409345888
O00764,7.788941094,7.821014947,7.828326582,7.90665344,7.69934843,7.688527208,7.738751487,8.065471342,7.660283094,7.620217612,7.46641242,7.543286408,7.274800094,7.915903895,7.947907062,8.018557496,7.679831293,7.696720061,7.830760955,7.623093312,7.702745398,7.426600771
O14558,7.507886991,7.29487032,8.011921312,7.984347031,8.441078635,8.108136856,7.258114596,8.05968056,7.943971134,7.635679159,6.864358039,7.094987099,7.396641717,8.047540738,8.172284017,7.882649468,7.56131433,7.757213261,8.010658157,8.364050524,8.081163449,6.817474862
O14579,8.373515559,8.350839638,8.348871276,7.930002618,7.951783368,7.732441658,7.272371411,7.912261543,7.916627889,7.692435551,7.874216506,8.192282175,8.11130579,8.321233119,8.253437647,8.078074718,6.994243837,7.362722431,8.016399233,8.077965871,7.818354562,7.918543127
O14737,8.030120441,7.967536696,8.010143311,7.959467137,7.471321973,7.43364307,7.176749012,7.181769813,7.628708293,7.374174855,7.608364816,7.955667072,7.910885549,7.796070178,7.857110379,7.480088914,7.358706921,7.453399677,7.587794867,7.777051285,7.583144083,7.407321568
O14818,8.03976712,8.27091224,8.142004431,8.15864835,8.215159007,7.9254372,7.160497027,8.175169989,7.805309477,8.056237136,8.090867953,8.138882202,8.171694067,7.922844103,8.234987537,8.084169859,7.150574558,8.037379947,8.123551881,8.04547632,8.038315874,8.312517808
O14907,7.408439325,7.350522267,7.500821984,7.5390798,7.170947951,6.813282348,7.064349715,7.08616023,7.377579146,7.144166294,7.318225251,7.345948288,7.49154231,7.49149491,6.921874525,7.274650079,7.018290183,7.317651826,7.486846086,7.498256187,7.40670986,7.243861997
O14974,7.533335419,7.506757429,7.546894951,7.465960279,7.240861304,7.446066484,6.573447969,6.954311911,7.201840361,6.975184313,7.045434464,7.527814733,7.436592607,7.34264901,7.352597709,6.872909883,7.125777723,7.502018146,7.395318485,7.427420577,7.297468851,6.849035927
O14979,7.757038931,7.814487629,7.801345268,7.582804572,7.465650743,7.606626553,7.297100933,7.34141907,7.175707287,7.294860427,7.154225918,7.544968724,7.539337405,7.801939137,7.7681164,7.404847458,7.288138868,7.417076377,7.369608262,7.300751206,7.309084933,7.079816749
O14980,8.377360068,8.289613148,8.148689721,7.688961472,7.597559054,7.40463932,7.29835361,6.861567841,7.247250288,7.411882174,7.356130766,8.190296431,7.958991008,7.637879888,8.217643507,7.255230154,7.420298634,7.138111037,7.414500515,7.404651313,7.29006679,6.747612702
O15067,7.420679758,7.454401285,7.000149238,7.430303557,7.467902383,7.484348619,6.608043439,7.582526792,7.186377856,7.023328743,7.215135643,7.38346809,7.417410507,7.303169839,7.307466875,7.305384474,7.057162645,7.119629323,7.596757478,7.225460938,6.940883801,7.418599804
O15143,7.78482481,7.486900048,7.833710084,7.863669554,7.701688456,7.702415393,7.233092467,7.394670515,7.376218146,6.951318836,7.567794021,8.127174681,7.846986383,7.752721466,7.533854012,7.391794145,7.178727323,7.632190295,7.356890838,7.825101517,7.785357623,7.712987771
O15144,8.295884136,8.106413664,8.055610491,7.594300205,8.014387663,7.811690091,7.830263887,8.059854029,8.081779458,8.088266859,8.306964977,8.452836454,8.004613527,7.946175578,8.048007267,8.063540984,7.387668463,8.174285154,8.090708176,8.033496603,8.101874267,8.483716843
O15145,8.200993045,8.072111608,8.141425333,7.872761935,7.659391617,8.323835003,7.732198474,8.012503219,7.689270707,7.779677891,7.603094713,8.056051737,7.960534269,7.920010932,7.934166974,7.783096765,7.719757891,6.877594804,7.500209491,7.634013502,7.688421618,7.568778241
O15212,7.799981509,7.830268398,7.851072507,7.894175919,7.871134888,7.820183955,7.220682027,7.573350867,7.475714333,7.399284796,7.498584179,7.666216443,7.764489796,7.659533744,7.815323353,7.770678048,7.069069162,7.594629542,7.420006595,7.606895551,7.38944225,7.272397935
O15371,7.846980092,8.105743034,7.515336293,7.586676989,7.181814432,7.559802653,7.083207351,7.527059136,7.429702635,7.492665893,7.170826346,7.706579918,7.465710912,7.651582032,7.630742691,7.720509655,7.007471566,6.47560044,7.42555981,7.561995198,7.246701513,6.629935667
O15372,7.875738898,7.950290272,7.734006383,7.413833505,7.869200837,7.536707279,7.232477798,7.508963587,7.237467223,6.488446138,7.249883547,7.514782253,7.499287974,7.586259881,7.561351717,7.718006341,6.98649165,7.559247862,7.01447751,7.329177246,6.840659574,7.37770295
O15460,8.164852469,8.109149548,8.075921546,8.069789349,8.229422474,7.560432983,7.965822162,8.696927888,8.435181591,8.572666744,8.497751069,8.094707727,7.961406597,8.067151413,8.047616032,7.700464706,7.725033214,8.324648665,8.527443966,8.432802097,8.559204126,8.683965939
O15511,7.333718479,8.045542668,7.129621921,7.488743135,7.604780568,7.308898072,7.294481854,7.768953325,7.89203861,7.515354893,8.067115056,7.961575834,7.455150939,7.725702837,7.148800223,7.592838074,7.302385504,7.536029733,7.949461389,8.147574139,7.917835483,8.238071636
O43175,8.129842056,8.18504379,8.075932557,7.972732005,8.067374966,7.949316583,7.90507877,8.192076832,7.985268324,7.533135088,7.987272677,8.231792611,8.183091907,8.108924095,8.094796014,8.18335184,7.91130329,8.34281752,8.275050319,8.229112649,8.209398419,7.735001343
O43242,8.332337777,8.218830539,8.09841013,8.032865478,7.34874637,7.113195244,6.749703843,7.909853925,7.675999627,8.203053924,8.035616042,8.277865423,8.280136266,8.131645866,7.896981315,7.627115676,7.109868858,7.001336811,7.37673648,7.71402633,7.672612701,8.487739403
O43294,7.595726888,7.802457552,7.673366603,7.735105848,7.052850212,7.507835532,6.920148682,7.533258842,6.653457515,7.379963442,7.02215684,7.334706911,7.460520799,7.651683268,7.890119327,7.464593983,7.620935253,7.290504474,7.467151096,7.236256843,6.955973088,7.075281429
O43390,8.120976845,8.263878031,8.158258177,7.962651618,6.778098426,7.056722498,7.340139109,7.486052602,6.683082507,7.267493594,6.799498791,8.24927165,8.23392939,8.258020522,7.917947844,6.892806993,6.711796588,7.38291956,6.918911626,7.571125267,7.579287874,7.387397393
O43396,8.143771313,8.050461778,8.059780896,8.019534174,7.664280578,7.418998703,6.531266244,7.588977119,7.801871206,7.45593647,7.832050159,8.074482498,7.889141475,7.905444291,7.948242419,7.361864262,7.10612992,7.786639497,7.773974726,7.834886581,7.75488697,7.789991234
O43399,8.30207721,8.254754371,8.364942942,8.098467836,8.106798401,7.897883117,7.746320191,8.014202736,8.027292966,7.784640861,8.070485855,7.87537294,8.082057785,8.251063248,8.278227925,8.03539042,7.84372948,8.176604253,8.159602512,8.308810239,8.060268373,8.067438487
O43504,7.700347657,7.679546955,7.81103303,7.700631192,6.965659761,6.706949781,7.135026744,6.707814819,7.562552493,7.391024666,7.555354602,7.207931806,7.577671378,7.274515073,7.882209994,7.106521793,7.108338092,7.423000033,7.622345259,7.831402535,7.661957809,7.713592606
O43617,7.483591935,7.429497486,7.520776903,7.367939875,7.203559741,7.09361467,7.108110949,7.337129105,7.361904141,7.117526802,6.809750238,7.167267487,7.241748726,7.133953315,7.560700784,7.195817224,7.326116042,7.127124177,7.083760219,6.879236532,7.039703271,7.406915577
O43681,7.380508476,7.72174276,7.553879207,6.967022956,7.138446152,7.44321851,7.008246132,7.582570415,7.289753364,7.449674647,7.119117886,7.308675674,7.690664154,7.395506382,7.651306348,7.720235434,6.689999344,7.715079024,7.329071359,7.530520558,7.071129686,7.253666953
O43707,9.780483512,9.790272024,9.818916919,9.692760964,9.399695772,9.158186543,8.995653998,9.319061407,9.477448537,9.334422697,9.52056838,9.692255416,9.635649983,9.757682189,9.74480009,9.341043736,8.99869687,9.464425835,9.512320648,9.521530394,9.53998691,9.55354268
O43776,8.104761867,7.962308389,7.759554508,7.854321957,7.806374928,7.364292544,7.411858457,7.656188183,7.419950166,7.37037499,7.21001987,8.031116237,8.00857408,7.911267089,7.988586712,7.863265247,7.124082947,6.994826469,7.796430335,7.748329311,7.892932342,7.147538918
O43795,7.259151614,7.316436964,7.15917833,6.977383387,7.24120438,7.072793493,7.35976499,7.375377382,7.412802691,7.395722981,7.092016114,7.634190673,7.456621951,7.212724336,7.655622505,7.462197318,7.270133583,7.123475112,7.276430278,7.405331073,7.037279364,7.216154375
O43852,9.181037162,9.204411639,9.290407672,9.193341528,8.989999025,8.426869379,8.67508227,9.240355089,9.127190252,9.13773915,9.241885893,9.019239264,9.102606352,9.237334545,9.310750784,9.116678286,8.951120614,9.083170515,9.294520678,9.168754544,9.201197778,9.592397257
O43865,6.996957467,6.914728469,7.253878302,6.691138072,6.890385363,6.412203643,7.092211215,6.809701126,7.382146458,7.313713214,7.16544961,7.269537124,6.866548439,6.766409908,7.46657341,6.850613424,6.711444426,6.951254199,7.544988314,7.060500025,7.976919037,6.849932683
O60443,7.552124929,7.214469843,7.831342829,7.240360194,7.550534094,7.192998399,7.179262423,6.880600223,7.374260662,7.304793559,7.203762206,7.524596937,7.276447851,7.369209709,7.39938923,7.031211811,7.10118765,7.364018766,7.848466184,7.255726526,7.306858079,7.387194354
O60493,7.412790402,7.570926303,7.393496048,7.183401563,7.322254256,7.365956604,7.480380308,7.765033756,7.280325009,6.833570128,7.302970573,7.447312712,7.262432138,7.401195049,6.928824662,7.249783732,7.267558164,7.312752524,7.452277935,7.452395121,7.416017287,7.190440982
O60506,8.876751224,8.879505681,8.783541063,8.70872073,8.322491634,7.952298248,7.816307425,8.056685945,8.155985537,7.961910273,8.304635263,8.791916794,8.823607075,8.811851245,8.691428538,8.301388522,7.754305449,8.301102771,8.437394857,8.340284229,8.227963852,7.968841731
O60568,7.61318639,7.637190667,7.529579421,7.264497304,7.452757991,6.987124563,7.09031845,7.826375746,7.572889788,7.89208616,7.921387633,7.312518573,7.721724306,7.537773046,7.607882805,7.495009756,6.8075498,7.344100573,7.491213401,7.355837949,7.567466453,8.131801201
O60664,8.917267771,8.92491789,8.986655513,8.912349318,8.683501553,8.695532616,7.920275812,8.538490017,8.789940434,8.636538581,8.689769563,8.866259637,8.839805138,8.898616628,8.929966941,8.673656407,8.265870654,8.799153421,8.777414489,8.901236252,8.79627388,8.733770298
O60701,8.723113642,8.581678125,8.706784939,8.485706237,8.424298585,8.24069421,7.740126455,8.369122338,8.277305246,7.815724296,8.285620898,8.72658118,8.619130167,8.616947338,8.557855254,8.409749677,7.879760979,8.177994704,8.306819543,8.415104833,8.287419399,8.051147664
O60716,7.829459569,7.81760541,7.74142879,7.5915269,7.52202519,7.051967321,7.437211291,7.488623973,6.961097987,7.440282085,7.395546879,7.793128604,7.775714515,7.752339011,7.71297777,7.337820422,7.546479118,7.28311575,7.446600177,7.69674829,7.078643073,6.907658461
O60763,8.250647678,8.140730137,7.974752581,7.640854847,7.978099742,7.923490911,6.945359314,7.876666451,7.943637917,7.797303738,8.104766403,7.99672628,7.436346638,8.10344395,8.158488042,7.854197583,6.963163114,7.862187191,8.103608907,8.041928517,8.210633155,7.440701303
O60784,7.32692008,7.871239938,7.295581248,7.389724562,7.260058611,7.450493816,6.94141918,7.549187514,6.881378259,7.679413833,7.567097433,7.214133684,7.272390925,7.456625348,7.492238112,6.835820697,7.090266565,6.684737699,7.351705,7.210120427,7.423558651,7.392356739
O60869,7.720703319,7.636685896,7.643881359,7.748926695,7.257706037,7.150826945,7.071756687,7.308215231,7.431923063,7.332993947,7.616090089,7.674333666,7.494822149,7.564398603,7.361051485,7.130505776,7.083632753,7.433227102,7.351135098,7.642957855,7.25598883,6.672568187
O60925,7.325849632,7.415269373,7.732349248,7.631942421,7.626462815,7.411801266,7.288374274,7.41841652,7.184810831,7.562328746,6.925792423,7.556285206,7.684566164,7.645695823,7.603702837,7.687281686,7.100463932,7.73572805,7.377588482,7.103141781,7.229677723,7.121697256
O75083,9.147657131,9.129650664,9.166872901,8.95291138,8.759361761,8.745762255,8.481780807,8.733845857,8.623704523,8.60454573,8.855340775,9.042114031,9.117776374,9.080211675,9.150454026,8.781079438,8.478665133,8.688281265,8.829586153,8.748612735,8.800821118,8.643669497
O75340,7.54966277,7.436276138,7.6259093,7.315357577,7.223212848,7.241098293,7.051391846,6.890356108,7.823363961,7.262142716,7.383277519,7.388134281,7.429132273,7.462923355,7.491933452,7.648988955,7.079588392,7.638052543,7.311352317,6.999002688,7.156683879,7.422159022
O75347,8.185902573,8.213846975,8.279365132,8.459170375,8.030992694,7.790264733,8.047804612,7.566141897,6.939915314,7.68200107,7.815056563,8.188141762,8.168943666,8.393299884,8.097914258,7.887294985,7.824090106,8.000572612,7.664585993,7.984863459,7.833744774,7.760594156
O75348,7.320745478,7.242609029,7.191171012,7.205257787,7.121181118,7.100288345,6.74615443,7.143631573,7.24369577,7.467371911,7.393179111,7.450888223,6.943644405,7.21982822,7.435069645,7.034411466,7.645233112,7.463832046,7.291111292,7.402579003,7.49356951,7.521788953
O75367,7.537860531,7.908432475,7.700320907,7.505765665,7.416669349,7.030888228,7.361368133,7.254915377,7.364021705,7.463983359,7.262098492,7.816171042,7.813674905,7.703188202,7.588234914,7.439798426,6.870067239,7.283090093,7.46374971,7.199044782,7.854515301,7.011324139
O75368,6.971135781,7.425404724,7.689271827,7.623804338,7.755718222,7.731014208,7.358885348,7.925245333,7.761743546,7.705840899,7.858277969,7.474415498,7.648163526,7.74684755,7.71647338,7.733674255,7.399333261,7.518186522,7.615709167,7.728351159,7.985392442,7.802828172
O75369,9.444522255,9.380728349,9.31970566,9.185328466,9.214412991,9.236901576,8.913438303,9.268418017,9.217046385,9.195575235,9.307409565,9.385931275,9.371936398,9.291717374,9.216879241,9.121407795,8.873912169,9.163268778,9.313769944,9.282863966,9.333469503,9.296389387
O75390,7.897574426,7.600178693,7.888434389,7.914120631,7.80102096,7.079743868,7.261972729,7.805505482,7.564939292,7.38604445,7.207281969,7.885957031,7.589500911,7.569490207,7.986720729,7.857969258,7.753427133,7.718547974,7.748825092,7.251666032,7.470490448,7.510239798
O75396,7.257547676,7.764670872,7.230218886,7.068314787,7.062589878,7.532967627,7.355676618,6.729030376,7.063149372,6.830026738,7.033814913,7.321808251,6.931583312,7.143842258,7.205883877,7.144618714,7.271590579,7.291436189,7.092521396,7.323384773,7.091356563,7.129972133
O75489,7.173085859,7.800508737,7.278145972,7.152735326,7.266775889,6.978851425,7.319633207,7.172336647,7.191061407,7.541586489,7.099862751,7.170596578,7.281809314,7.491060654,7.381467165,7.234157249,7.081379292,7.127946643,7.132229702,6.744739325,7.249737311,7.609553599
O75521,8.157010046,8.258396119,8.123186745,7.713581102,7.311388251,6.955583137,7.063744279,7.520612321,7.443606493,7.430055499,7.55431159,7.969988951,8.038165853,7.927888886,7.900586073,6.771385362,6.916964064,7.074918414,7.58137009,7.220326847,7.12695773,7.346221031
O75531,7.837088675,7.973823725,8.034421422,7.645786276,7.626998552,7.510015438,7.29128567,7.512889666,7.395081788,7.588842453,7.149816358,7.601596227,7.450211781,8.023983009,8.010562599,7.788866806,7.435073292,7.344066252,7.231742528,7.550602777,7.538142666,6.809385976
O75533,8.027828722,8.152132483,7.989745781,7.140652884,6.580649893,7.237977646,7.624953652,6.662261811,7.315903862,7.387039562,7.035302317,8.041246437,8.065776258,7.454552033,7.491493013,6.464067919,6.817640926,6.650323364,7.173808414,7.842026587,7.390609776,6.743656633
O75534,7.900694748,7.807935887,7.815838295,7.785844954,6.814307359,7.610672322,7.044771422,6.941943711,6.986856448,7.059157749,7.223100462,7.696163375,7.781727137,7.761792328,7.566310381,7.403628435,7.325159441,7.119737822,7.083127026,7.151450103,6.949689227,7.398205774
O75718,7.639465296,7.598780826,7.572725892,7.41857083,7.553941735,7.305586066,7.370493885,7.543698886,6.987625083,7.480210607,7.742409019,7.566079521,7.602317031,7.412639749,7.446051978,7.176377601,7.529691874,7.026539639,7.161383712,7.451391311,7.230783466,7.953647325
O75822,7.284142918,7.518532302,7.329512851,7.282268895,7.081742894,6.794818104,7.105830387,7.207486458,7.771111327,7.066192383,7.250681923,7.315004428,7.330239515,7.339499437,7.271546502,7.026078569,7.219305854,7.281114575,7.233770096,7.011385156,7.07376879,7.214974
O75874,7.727964027,7.873175162,7.797412203,7.626729448,7.947858945,8.055890802,7.442156602,7.95284413,7.863968263,7.164793353,7.961985772,7.806216064,7.216885374,7.676743868,7.822811753,8.124072336,7.500074673,8.150090054,8.118533499,8.028468268,8.059079562,8.033382218
O76003,7.824851392,7.738351808,7.872264672,7.381152716,7.318181851,7.004451638,7.396504177,7.538699899,7.326653254,7.041695206,7.241959636,7.719478327,7.73900396,7.746317078,7.71623985,7.676743868,7.15076698,7.209555714,7.133941806,7.140388931,7.592548601,7.14165496
O94808,8.156771407,7.921031312,7.558127271,7.186591572,6.943309087,6.906963726,7.219684384,6.953061026,6.964474269,6.890096265,7.636504211,7.966879156,7.572855167,7.145960523,7.154004369,6.413972676,7.13664452,7.251820898,7.067199053,7.002426423,7.568343488,7.314404275
