"","Protein","KNN_long.term.prod.rank","KNN_short.term.prod.rank","MinProb_long.term.prod.rank","MinProb_short.term.prod.rank","short.term.prod","long.term.prod","short.term.prod.rank","long.term.prod.rank"
"1","O00151",800,551,725,581,320131,580000,591,790
"2","O00154",382,552,305,553,305256,116510,579,338
"3","O00159",697,144,429,148,21312,299013,144,575
"4","O00203",596,652,272,494,322088,162112,594,402
"5","O00231",502,815,585,736,599840,293670,805,567
"6","O00232",592,49,359,13,637,212528,23,472
"7","O00273",458,611,348,642,392262,159384,659,397
"8","O00299",871,405,880,364,147420,766480,385,886
"9","O00303",594,461,580,368,169648,344520,420,618
"10","O00410",326,202,571,130,26260,186146,159,433
"11","O00429",534,757,814,632,478424,434676,718,693
"12","O00469",844,851,860,847,720797,725840,865,868
"13","O00571",698,718,566,700,502600,395068,737,655
"14","O00629",34,25,224,188,4700,7616,62,83
"15","O00764",397,235,373,515,121025,148081,349,381
"16","O14558",192,82,395,690,56580,75840,236,276
"17","O14579",633,284,811,341,96844,513363,316,749
"18","O14737",210,784,352,877,687568,73920,848,272
"19","O14818",792,571,809,595,339745,640728,608,829
"20","O14907",524,765,138,277,211905,72312,472,265
"21","O14974",520,725,142,752,545200,73840,769,271
"22","O14979",287,349,676,210,73290,194012,272,442
"23","O14980",352,226,374,249,56274,131648,234,356
"24","O15067",746,794,589,580,460520,439394,705,696
"25","O15143",3,33,14,238,7854,42,81,3
"26","O15144",903,309,906,349,107841,818118,329,909
"27","O15145",669,646,514,583,376618,343866,643,617
"28","O15212",742,876,794,882,772632,589148,893,800
"29","O15371",413,629,463,35,22015,191219,145,439
"30","O15372",290,113,664,155,17515,192560,125,441
"31","O15460",895,322,901,351,113022,806395,340,905
"32","O15511",375,430,406,623,267890,152250,535,386
"33","O43175",260,816,337,820,669120,87620,839,289
"34","O43242",307,356,650,576,205056,199550,466,451
"35","O43294",292,60,265,281,16860,77380,121,279
"36","O43390",481,207,764,772,159804,367484,409,635
"37","O43396",409,532,496,430,228760,202864,485,460
"38","O43399",72,108,109,127,13716,7848,111,85
"39","O43504",308,507,159,675,342225,48972,610,214
"40","O43617",257,153,82,555,84915,21074,298,139
"41","O43681",673,545,294,353,192385,197862,446,448
"42","O43707",451,286,464,293,83798,209264,294,469
"43","O43776",460,357,730,796,284172,335800,560,612
"44","O43795",346,227,351,579,131433,121446,363,347
"45","O43852",200,128,191,105,13440,38200,107,188
"46","O43865",590,511,472,230,117530,278480,345,551
"47","O60443",755,181,484,208,37648,365420,197,633
"48","O60493",789,881,425,836,736516,335325,875,611
"49","O60506",331,735,369,742,545370,122139,770,349
"50","O60568",475,458,473,275,125950,224675,357,486
"51","O60664",566,423,583,413,174699,329978,427,606
"52","O60701",617,841,675,843,708963,416475,858,675
"53","O60716",111,634,329,789,500226,36519,735,181
"54","O60763",432,189,475,228,43092,205200,209,464
"55","O60784",660,591,596,607,358737,393360,625,653
"56","O60869",171,392,29,385,150920,4959,392,65
"57","O60925",733,761,749,567,431487,549017,691,771
"58","O75083",645,497,663,492,244524,427635,509,684
"59","O75340",483,496,645,309,153264,311535,396,589
"60","O75347",461,635,241,649,412115,111101,676,328
"61","O75348",815,282,784,408,115056,638960,342,827
"62","O75367",457,605,698,384,232320,318986,493,597
"63","O75368",608,706,357,337,237922,217056,500,477
"64","O75369",738,702,735,672,471744,542430,715,766
"65","O75390",816,804,689,747,600588,562224,808,778
"66","O75396",330,400,161,386,154400,53130,401,225
"67","O75489",357,696,190,709,493464,67830,728,253
"68","O75521",583,213,859,371,79023,500797,284,741
"69","O75531",221,257,227,256,65792,50167,256,217
"70","O75533",490,249,837,573,142677,410130,379,668
"71","O75534",858,61,561,777,47397,481338,215,732
"72","O75718",529,782,588,897,701454,311052,855,587
"73","O75822",768,810,813,565,457650,624384,704,821
"74","O75874",179,293,208,360,105480,37232,328,184
"75","O76003",548,367,380,628,230476,208240,490,468
"76","O94808",93,371,154,334,123914,14322,353,115
"77","O94855",781,685,685,665,455525,534985,702,760
"78","O94925",11,422,94,410,173020,1034,424,29
"79","O94979",580,880,180,886,779680,104400,896,312
"80","O95182",128,302,231,157,47414,29568,216,164
"81","O95336",741,536,808,506,271216,598728,539,806
"82","O95340",640,870,646,600,522000,413440,756,670
"83","O95373",853,175,790,315,55125,673870,230,844
"84","O95394",372,528,545,618,326304,202740,596,459
"85","O95433",704,819,449,165,135135,316096,368,593
"86","O95777",44,565,326,301,170065,14344,421,116
"87","O95782",830,866,829,505,437330,688070,693,848
"88","O95793",438,246,447,352,86592,195786,300,445
"89","O95816",757,759,619,775,588225,468583,796,721
"90","O95817",601,372,375,483,179676,225375,433,489
"91","O95881",642,360,242,95,34200,155364,182,390
"92","P00338",879,741,886,717,531297,778794,763,894
"93","P00367",176,68,194,104,7072,34144,76,175
"94","P00441",362,867,419,633,548811,151678,772,385
"95","P00491",509,130,312,141,18330,158808,128,396
"96","P00492",354,498,477,558,277884,168858,551,413
"97","P00505",423,125,540,78,9750,228420,91,493
"98","P00558",570,382,579,396,151272,330030,393,607
"99","P00568",105,67,332,394,26398,34860,161,176
"100","P00761",226,224,250,263,58912,56500,242,236
"101","P02452",300,358,313,389,139262,93900,374,299
"102","P02545",277,614,276,606,372084,76452,636,277
"103","P02751",829,388,840,407,157916,696360,404,854
"104","P02786",374,713,417,380,270940,155958,538,391
"105","P04075",96,482,89,466,224612,8544,482,92
"106","P04080",294,654,461,840,549360,135534,773,363
"107","P04083",654,455,658,454,206570,430332,467,689
"108","P04179",89,287,79,73,20951,7031,142,80
"109","P04181",468,617,657,572,352924,307476,621,583
"110","P04216",487,399,220,283,112917,107140,339,317
"111","P04406",63,42,55,53,2226,3465,41,55
"112","P04632",664,877,754,884,775268,500656,895,740
"113","P04792",466,462,482,442,204204,224612,464,485
"114","P04899",557,714,297,805,574770,165429,791,410
"115","P05067",542,777,388,813,631701,210296,823,470
"116","P05121",434,559,468,197,110123,203112,334,461
"117","P05161",445,768,537,671,515328,238965,744,509
"118","P05198",754,600,783,648,388800,590382,654,801
"119","P05387",797,251,795,234,58734,633615,241,824
"120","P05388",887,575,892,546,313950,791204,586,898
"121","P05455",585,618,665,660,407880,389025,672,650
"122","P05556",26,210,58,347,72870,1508,271,34
"123","P05783",251,21,235,25,525,58985,22,238
"124","P05787",16,23,8,22,506,128,20,9.5
"125","P05976",8,120,16,168,20160,128,137,9.5
"126","P06396",718,891,776,887,790317,557168,901,777
"127","P06576",305,162,291,150,24300,88755,154,292
"128","P06730",506,505,821,458,231290,415426,492,673
"129","P06733",385,321,386,285,91485,148610,303,382
"130","P06744",715,742,750,710,526820,536250,760,762
"131","P06748",152,36,139,36,1296,21128,32,140
"132","P06753",33,377,32,399,150423,1056,391,30
"133","P07108",650,570,777,268,152760,505050,394,744
"134","P07195",835,711,843,693,492723,703905,726,860
"135","P07237",567,277,568,245,67865,322056,257,601
"136","P07339",47,35,92,14,490,4324,19,62
"137","P07355",252,491,225,488,239608,56700,505,237
"138","P07384",747,223,849,332,74036,634203,273,825
"139","P07437",523,318,530,308,97944,277190,319,548
"140","P07602",589,245,309,82,20090,182001,136,427
"141","P07686",479,233,593,374,87142,284047,301,561
"142","P07737",117,518,105,551,285418,12285,562,107
"143","P07814",213,610,321,403,245830,68373,512,256
"144","P07858",115,63,152,62,3906,17480,57,129
"145","P07900",574,448,576,415,185920,330624,439,608
"146","P07910",563,529,614,467,247043,345682,513,619
"147","P07942",230,208,333,294,61152,76590,245,278
"148","P07951",150,727,277,489,355503,41550,622,194
"149","P07954",504,779,586,800,623200,295344,818,571
"150","P07996",545,760,556,786,597360,303020,803,581
"151","P08107",139,193,136,182,35126,18904,186,133
"152","P08123",71,169,76,223,37687,5396,198,70
"153","P08133",701,187,722,160,29920,506122,172,745
"154","P08195",390,397,629,645,256065,245310,520,516
"155","P08238",503,375,503,422,158250,253009,405,521
"156","P08621",614,703,247,837,588411,151658,797,384
"157","P08670",515,639,523,644,411516,269345,675,541
"158","P08758",661,517,674,531,274527,445514,547,702
"159","P08865",863,763,869,745,568435,749947,786,875
"160","P09104",289,621,4,657,407997,1156,673,31
"161","P09211",549,294,549,288,84672,301401,297,579
"162","P09382",122,46,111,44,2024,13542,37,111
"163","P09429",318,758,112,780,591240,35616,800,177
"164","P09486",690,751,756,783,588033,521640,795,753
"165","P09493",223,644,206,661,425684,45938,681,205
"166","P09496",693,864,785,885,764640,544005,890,769
"167","P09622",394,681,752,652,444012,296288,696,572
"168","P09651",323,150,344,138,20700,111112,140,329
"169","P09936",54,47,45,56,2632,2430,45,44
"170","P09960",234,156,574,225,35100,134316,185,360
"171","P09972",75,572,108,612,350064,8100,616,86.5
"172","P0CW22",861,821,490,819,672399,421890,843,680
"173","P10412",304,822,633,816,670752,192432,840,440
"174","P10599",685,624,706,662,413088,483610,678,735
"175","P10619",791,699,717,790,552210,567147,776,779
"176","P10809",415,219,389,194,42486,161435,207,401
"177","P11021",311,275,320,278,76450,99520,280,304
"178","P11047",643,406,508,331,134386,326644,367,605
"179","P11142",417,303,427,310,93930,178059,313,423
"180","P11177",518,330,842,569,187770,436156,441,694
"181","P11216",546,601,314,811,487411,171444,725,416
"182","P11413",619,792,678,781,618552,419682,814,677
"183","P11586",723,769,377,528,406032,272571,669,543
"184","P11766",376,890,413,557,495730,155288,731,389
"185","P11940",579,717,613,739,529863,354927,762,624
"186","P12004",852,831,140,241,200271,119280,456,342
"187","P12081",906,126,452,80,10080,409512,93,666
"188","P12109",405,586,724,734,430124,293220,688,566
"189","P12268",658,271,707,299,81029,465206,288,717
"190","P12270",809,107,824,768,82176,666616,290,843
"191","P12763",241,524,418,534,279816,100738,553,308
"192","P12814",244,158,221,147,23226,53924,151,226
"193","P12956",36,686,169,825,565950,6084,783,75
"194","P13010",138,632,148,613,387416,20424,652,137
"195","P13489",131,483,73,262,126546,9563,358,97
"196","P13639",758,520,759,486,252720,575322,518,785
"197","P13667",76,16,65,12,192,4940,12,64
"198","P13674",681,493,699,527,259811,476019,527,730
"199","P13693",60,182,66,214,38948,3960,200,59
"200","P13797",810,609,817,597,363573,661770,629,841
"201","P13798",146,558,428,670,373860,62488,638,247
"202","P13804",443,561,897,760,426360,397371,683,657
"203","P13861",404,205,91,478,97990,36764,320,182
"204","P14174",10,8,98,17,136,980,9,27
"205","P14314",52,13,49,9,117,2548,5,46
"206","P14550",363,595,450,590,351050,163350,618,406
"207","P14618",513,417,506,381,158877,259578,407,531
"208","P14625",184,86,168,69,5934,30912,66,170
"209","P14866",136,9,120,11,99,16320,4,126
"210","P14868",689,911,847,911,829921,583583,912,795
"211","P15170",550,241,446,491,118331,245300,346,515
"212","P15311",751,387,762,254,98298,572262,322,784
"213","P15374",18,57,71,115,6555,1278,72,32
"214","P15531",435,428,301,501,214428,130935,475,354
"215","P15559",610,370,669,383,141710,408090,378,665
"216","P15586",622,248,731,181,44888,454682,212,708
"217","P15880",644,152,701,175,26600,451444,162,705
"218","P16070",205,112,466,107,11984,95530,102,300
"219","P16152",437,592,498,626,370592,217626,633,478
"220","P16949",551,764,290,859,656276,159790,833,398
"221","P16989",30,96,52,131,12576,1560,105,36
"222","P17096",6,198,13,260,51480,78,224,6
"223","P17174",560,14,507,16,224,283920,14,560
"224","P17655",891,853,903,849,724197,804573,868,903
"225","P17812",191,859,367,876,752484,70097,887,259
"226","P17844",500,238,719,321,76398,359500,279,630
"227","P17858",364,651,327,376,244776,119028,510,341
"228","P17980",303,676,434,686,463736,131502,709,355
"229","P17987",892,912,899,910,829920,801908,911,902
"230","P18085",676,256,697,207,52992,471172,226,723
"231","P18124",881,692,421,713,493396,370901,727,639
"232","P18206",517,527,525,519,273513,271425,543,542
"233","P18564",462,347,397,433,150251,183414,389,428
"234","P18621",380,429,134,345,148005,50920,386,219
"235","P18669",332,55,364,58,3190,120848,49,345
"236","P18859",88,331,303,593,196283,26664,452,160
"237","P19105",214,265,203,284,75260,43442,275,198
"238","P19338",877,860,885,851,731860,776145,873,893
"239","P19367",204,89,328,161,14329,66912,112,251
"240","P19623",773,509,595,778,396002,459935,664,712
"241","P20073",246,300,181,257,77100,44526,281,201
"242","P20290",227,94,319,94,8836,72413,87,266
"243","P20340",756,824,611,204,168096,461916,416,714
"244","P20618",454,56,570,64,3584,258780,52,530
"245","P20700",811,278,746,673,187094,605006,440,811
"246","P20810",476,464,510,552,256128,242760,521,511
"247","P20908",750,701,684,480,336480,513000,604,748
"248","P21281",148,398,97,627,249546,14356,514,118
"249","P21291",593,707,626,732,517524,371218,748,640
"250","P21333",178,504,170,474,238896,30260,504,168
"251","P21399",286,770,166,795,612150,47476,811,209
"252","P21589",358,555,100,804,446220,35800,698,178
"253","P21980",338,350,420,402,140700,141960,376,372
"254","P22061",436,420,263,2,840,114668,27,334
"255","P22087",452,633,222,647,409551,100344,674,307
"256","P22102",177,137,293,186,25482,51861,157,221
"257","P22234",700,734,384,584,428656,268800,687,539
"258","P22307",493,809,653,838,677942,321929,846,600
"259","P22314",907,698,908,698,487204,823556,724,911
"260","P22392",167,401,158,411,164811,26386,411,158
"261","P22626",399,424,433,405,171720,172767,422,417
"262","P22695",328,29,412,269,7801,135136,79,362
"263","P23246",309,675,335,634,427950,103515,685,311
"264","P23284",262,34,254,30,1020,66548,30,250
"265","P23381",587,835,654,829,692215,383898,850,647
"266","P23396",651,443,679,437,193591,442029,448,698
"267","P23526",510,364,544,400,145600,277440,383,549
"268","P23528",837,431,846,441,190071,708102,444,861
"269","P23588",705,576,671,290,167040,473055,413,726
"270","P24534",582,460,637,450,207000,370734,468,638
"271","P24752",329,755,439,340,256700,144431,522,376
"272","P24844",256,814,84,357,290598,21504,567,141
"273","P25398",355,239,459,167,39913,162945,203,405
"274","P25705",870,637,878,620,394940,763860,662,884
"275","P25786",603,585,661,625,365625,398583,630,658
"276","P25787",659,122,716,162,19764,471844,133,724
"277","P25788",345,177,379,274,48498,130755,217,353
"278","P25789",573,753,283,40,30120,162159,173,403
"279","P26022",335,832,214,774,643968,71690,826,264
"280","P26038",684,228,692,173,39444,473328,202,727
"281","P26196",821,548,693,582,318936,568953,589,781
"282","P26368",845,454,353,473,214742,298285,476,574
"283","P26373",145,868,204,452,392336,29580,660,165
"284","P26599",118,798,127,787,628026,14986,822,121
"285","P26639",497,403,258,158,63674,128226,252,352
"286","P26640",208,283,358,324,91692,74464,305,275
"287","P26641",516,485,542,472,228920,279672,486,553
"288","P26885",381,762,521,758,577596,198501,793,450
"289","P27348",505,603,483,279,168237,243915,417,513
"290","P27635",85,75,34,84,6300,2890,70,48
"291","P27797",599,368,594,336,123648,355806,352,626
"292","P27816",28,334,22,330,110220,616,335,24
