"","Protein","P.Value","adj.P.Val"
"1","Q86TU7",0.000349707874978017,0.160783781310346
"2","P31949",0.000487388596068871,0.160783781310346
"3","Q92804",0.000563925835739279,0.160783781310346
"4","Q9NZM1",0.000791850608149363,0.160783781310346
"5","P51116",0.000874260507925869,0.160783781310346
"6","Q13200",0.000922712530873827,0.160783781310346
"7","Q9Y2W1",0.00175158186890171,0.160783781310346
"8","Q9HB90",0.00182191950835058,0.160783781310346
"9","P17174",0.00184026361347305,0.160783781310346
"10","Q99613",0.00194768697841435,0.160783781310346
"11","P55060",0.00203685554805656,0.160783781310346
"12","P14314",0.00205706215364367,0.160783781310346
"13","Q9UBB6",0.00206223968374227,0.160783781310346
"14","Q9UHA4",0.00212133781199432,0.160783781310346
"15","Q16555",0.00212701783929102,0.160783781310346
"16","P68371",0.00222004853463867,0.160783781310346
"17","P13667",0.00250983089839352,0.160783781310346
"18","P14866",0.00277557140086909,0.160783781310346
"19","Q99439",0.00277594656922844,0.160783781310346
"20","P62854",0.0029400900604019,0.160783781310346
"21","P14174",0.00309441665090317,0.160783781310346
"22","P23284",0.00310252815679686,0.160783781310346
"23","Q96AC1",0.00315973633616897,0.160783781310346
"24","Q99460",0.00338746709383825,0.160783781310346
"25","O00232",0.00363135584000355,0.160783781310346
"26","p_0",0.00367262741694009,0.160783781310346
"27","Q53FA7",0.0039790575109969,0.160783781310346
"28","Q06210",0.00399829843100197,0.160783781310346
"29","P62333",0.00402796273465099,0.160783781310346
"30","Q02790",0.00403381218177655,0.160783781310346
"31","P40939",0.00411350812398381,0.160783781310346
"32","Q68E01",0.00412539206787513,0.160783781310346
"33","P05783",0.00414272016087871,0.160783781310346
"34","P06748",0.00417626305638096,0.160783781310346
"35","Q01518",0.00420899951074205,0.160783781310346
"36","P68104",0.00512346274286104,0.186342795835773
"37","Q9UNF0",0.00548890840918817,0.186342795835773
"38","Q9C0C2",0.00562556086892596,0.186342795835773
"39","O75534",0.00568671883284905,0.186342795835773
"40","Q9H7Z7",0.00570179474298403,0.186342795835773
"41","P30050",0.00571432657387189,0.186342795835773
"42","P04406",0.00589857195955328,0.186463746911282
"43","P60903",0.00614501024401652,0.186463746911282
"44","Q9BWU0",0.00622685041918284,0.186463746911282
"45","Q9UMX0",0.00627589275318451,0.186463746911282
"46","Q9UG63",0.00642283106681838,0.186680981224699
"47","Q9UMS4",0.00678600552422076,0.190158302119047
"48","Q9Y3U8",0.00697227897577661,0.190158302119047
"49","Q7Z417",0.00709318563132418,0.190158302119047
"50","P09382",0.00711138003436974,0.190158302119047
"51","P52926",0.00764934290578147,0.195034704462265
"52","P62805",0.00772075428853953,0.195034704462265
"53","Q14019",0.00773136823971582,0.195034704462265
"54","Q15233",0.00790421180078861,0.195702429215822
"55","Q14103",0.00856562974320102,0.208222672121087
"56","O95819",0.00900589979575712,0.215015857623701
"57","O14558",0.00926691184402749,0.217365984832715
"58","P18669",0.00994457308627513,0.225942423655568
"59","Q13177",0.0101548213535414,0.225942423655568
"60","P62195",0.0102940713706976,0.225942423655568
"61","P05787",0.01042268306222,0.225942423655568
"62","Q04446",0.0104775095487249,0.225942423655568
"63","Q15366",0.010683916494323,0.226736450046187
"64","P20290",0.0108784871791003,0.227258396225893
"65","Q9Y3I0",0.011138785665696,0.228539891521702
"66","Q15365",0.0112816999554468,0.228539891521702
"67","P00491",0.0114770857706274,0.229027816049683
"68","Q6NYC8",0.0120534543598309,0.233568133820613
"69","P40121",0.0122521111761847,0.233568133820613
"70","Q9H0E2",0.0122976608913336,0.233568133820613
"71","P51911",0.0127430266102802,0.233568133820613
"72","Q9BQ61",0.0127488154472223,0.233568133820613
"73","P53618",0.012752785167468,0.233568133820613
"74","O00159",0.0131614876532283,0.235686999214831
"75","Q0V8M9",0.0132980027554007,0.235686999214831
"76","P27635",0.0133973163353232,0.235686999214831
"77","Q9UDY2",0.0138967826387685,0.241298680364072
"78","P47755",0.0142200933871719,0.243433806811526
"79","Q99798",0.0143838973359092,0.243433806811526
"80","Q9UMS6",0.0159235012256584,0.261532260281484
"81","P46777",0.0161392593799542,0.261532260281484
"82","Q01469",0.016414454007426,0.261532260281484
"83","P43243",0.0164820219032029,0.261532260281484
"84","P12081",0.0165261792001296,0.261532260281484
"85","Q9UHB9",0.0169032596445065,0.261532260281484
"86","O95373",0.0171175042061929,0.261532260281484
"87","P07339",0.0173949569648974,0.261532260281484
"88","P19367",0.0174834798729899,0.261532260281484
"89","P62310",0.0175104389513569,0.261532260281484
"90","P07858",0.0177301854385478,0.261532260281484
"91","Q14232",0.0179608002965642,0.261532260281484
"92","Q70E73",0.0179962363095711,0.261532260281484
"93","P20618",0.0190898269621431,0.271364683630221
"94","P00367",0.0193003325235406,0.271364683630221
"95","P37802",0.0194922602434127,0.271364683630221
"96","Q14195",0.0196333888479821,0.271364683630221
"97","Q9UN86",0.0197863240236397,0.271364683630221
"98","O75694",0.0199797540556864,0.271364683630221
"99","Q99729",0.0203718889481687,0.271364683630221
"100","P62829",0.020697355259323,0.271364683630221
"101","P13861",0.0208387537197581,0.271364683630221
"102","P16070",0.0209609766980815,0.271364683630221
"103","P30048",0.0210070393926727,0.271364683630221
"104","Q13263",0.0212324261556068,0.271364683630221
