"","Protein","P.Value","adj.P.Val"
"1","Q16181",0.000201896845251558,0.205732885311338
"2","P62888",0.00147534607286718,0.751688824125826
"3","P60228",0.00443114891484016,0.996417350179248
"4","Q07065",0.00602908985665249,0.996417350179248
"5","P47914",0.00860966952304146,0.996417350179248
"6","Q7Z4V5",0.0103570499376621,0.996417350179248
"7","Q01995",0.0109553134395838,0.996417350179248
"8","P17096",0.0148944301688664,0.996417350179248
"9","P24844",0.0163446304519501,0.996417350179248
"10","P05976",0.017869433184244,0.996417350179248
"11","P67936",0.0182566874907734,0.996417350179248
"12","Q14157",0.0184769071270895,0.996417350179248
"13","P62328",0.0189002094744871,0.996417350179248
"14","Q9UN86",0.0189268528724281,0.996417350179248
"15","Q15459",0.0189941552757367,0.996417350179248
"16","P05787",0.0191552611985028,0.996417350179248
"17","Q02790",0.0238393922924564,0.996417350179248
"18","P60903",0.0254914168218012,0.996417350179248
"19","Q99879",0.0276483740611926,0.996417350179248
"20","Q9NQP4",0.0294912526354319,0.996417350179248
"21","Q9Y5S9",0.0296307538072644,0.996417350179248
"22","P31949",0.0319475849462612,0.996417350179248
"23","P16989",0.0342684306122952,0.996417350179248
"24","P12955",0.0344264866109066,0.996417350179248
"25","P21399",0.0366323694949679,0.996417350179248
"26","Q3SX28",0.0367109609646458,0.996417350179248
"27","P05556",0.0373892526524866,0.996417350179248
"28","Q86UP2",0.0374094867764831,0.996417350179248
"29","P09104",0.0409093674761735,0.996417350179248
"30","P13667",0.0413522717496462,0.996417350179248
"31","P49023",0.0416874173254067,0.996417350179248
"32","Q7Z417",0.0436414023574084,0.996417350179248
"33","P67809",0.0454354191211647,0.996417350179248
"34","Q07954",0.0459964521933567,0.996417350179248
"35","Q99613",0.0460655305961746,0.996417350179248
"36","Q9Y2D5",0.0467662637627459,0.996417350179248
"37","P80723",0.0470735198657274,0.996417350179248
"38","Q969G3",0.0478661420390988,0.996417350179248
"39","Q92841",0.048121656116656,0.996417350179248
