"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","ctr_14","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11","mg_14"
"O00151",7.36938127677426,7.3731411248895,7.38137071851601,7.18243007136122,7.3786773324381,7.33251094874424,7.4249818443053,7.23671833861743,7.702351913288,7.39824880324171,7.46215193268102,7.42330494863466,7.41715640927326,7.45910409241681,7.36624659891885,7.24595146157762,7.76314254350648,7.69084058146186,7.70315604409307,7.66811442751797
"O00154",8.27464243408398,8.15897647234839,8.14800508179021,7.97624464788138,7.89290297038891,7.65556004724459,7.45041030299784,7.14599681370628,7.19690520487996,7.31141715567027,8.19338000173045,8.13370725818298,7.98652831844247,8.27630321452865,8.0289045693398,7.32082258106549,7.80303396703357,7.42055820396675,7.52629241300436,7.60816256988455
"O00159",8.71660590200811,8.54633669044815,8.38453369710361,8.29807509780278,7.72463193500627,7.76360381386877,7.51712722391971,8.00590016153904,7.74225103377344,7.44606449757894,8.46761298815968,8.55900764966358,8.51848068076588,8.37677374886644,8.12666930261773,7.51904853837714,7.58323693289501,7.95797587231185,7.91551410949575,7.48696413015336
"O00203",7.4506998950316,7.33332604476546,7.19533817970045,7.27061280051941,7.24439971154571,7.01587419837389,7.20302886387726,7.14040967121977,7.19483493991526,7.45342780042461,7.55241963230701,7.51729680116116,7.25629788302802,7.32081986272711,7.16230388626002,7.25539341239898,7.17615433710371,7.20273271365438,7.17568660626509,7.14212503814695
"O00231",8.35755562746439,8.15590043948792,8.37408086653702,8.04251995569503,7.59324191881848,7.2894536155798,7.11594049432995,7.29084878382454,7.61941579558416,7.48994655582494,8.33209261292974,8.29042230672897,8.05747235306492,7.91640158925292,7.51401167940709,6.87280358164359,7.61723056430146,7.52550388384184,7.65861883681489,7.59727151013725
"O00232",7.91489579419252,8.13378095302023,7.97181814139581,7.70007721312356,7.62059090718133,7.62930595812865,7.18422240418271,7.67903740861251,7.4007503273553,7.55703303233886,7.59848178827085,7.67943548677967,7.79196843688305,8.00807115600085,7.99942175787305,6.77231465197902,7.59915101815068,7.57784036314435,7.30745965282878,7.56017086417036
"O00273",7.43620007254488,7.54894628763784,7.55056302861086,7.64389070162177,7.0186413432885,6.78132320677251,7.04702927693434,7.28659444473679,7.06202464015594,7.22297091110708,7.34066013836259,7.38586472513558,7.61985024690031,7.55276393766594,7.40001473368199,6.90175587232549,7.12760675564068,6.8466588512077,7.32945294106684,6.9777046160211
"O00299",8.85498378557188,9.04468583325831,9.05998788594099,8.88995880429822,8.39836255057316,7.99385378099194,7.95184234227704,8.40349145788533,8.55297414178401,8.33656406826895,8.85178631133064,8.8872012224036,8.90129015992012,8.98900963745725,8.40143246945775,8.09507327940412,8.00568635310069,8.38391104006236,8.60799245778088,8.32127136728991
"O00303",8.3123633139901,8.37828127697875,8.35577872266159,8.19082151777053,7.82707437976267,8.06088560730287,7.43204432286467,7.77071647977517,7.77593634022539,7.38359013531879,8.06764601836869,8.20688133937183,8.2832869964607,8.23388169468346,7.8792438561712,7.55611175560164,7.7624958428721,7.80686833285057,7.73552063855318,7.65418694409642
"O00410",8.7845570050548,8.82692720371166,8.78239505854427,8.57502807232436,8.22460434932313,8.2520432981429,7.86767686055138,8.16334841774137,8.09735638137057,7.02620461674352,8.62710452348003,8.6166831078775,8.70299020039442,8.74171769366837,8.4044441736256,7.81831900801492,7.97831942354326,8.10564661959856,8.15282218947331,7.70660896673735
