#queryIndex	queryItem	stringId	preferredName	annotation
1	O94925	9606.ENSP00000317379	GLS	Glutaminase kidney isoform, mitochondrial; Catalyzes the first reaction in the primary pathway for the renal catabolism of glutamine. Plays a role in maintaining acid-base homeostasis. Regulates the levels of the neurotransmitter glutamate in the brain. Isoform 2 lacks catalytic activity; Ankyrin repeat domain containing
2	P00568	9606.ENSP00000362271	AK1	Adenylate kinase isoenzyme 1; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Also displays broad nucleoside diphosphate kinase activity. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism; Belongs to the adenylate kinase family. AK1 subfamily
3	P04179	9606.ENSP00000446252	SOD2	Superoxide dismutase [Mn], mitochondrial; Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems
4	P06753	9606.ENSP00000357516	TPM3	Tropomyosin alpha-3 chain; Binds to actin filaments in muscle and non-muscle cells. Plays a central role, in association with the troponin complex, in the calcium dependent regulation of vertebrate striated muscle contraction. Smooth muscle contraction is regulated by interaction with caldesmon. In non-muscle cells is implicated in stabilizing cytoskeleton actin filaments; Belongs to the tropomyosin family
5	P07339	9606.ENSP00000236671	CTSD	Cathepsin D; Acid protease active in intracellular protein breakdown. Plays a role in APP processing following cleavage and activation by ADAM30 which leads to APP degradation. Involved in the pathogenesis of several diseases such as breast cancer and possibly Alzheimer disease; Cathepsins
6	P12956	9606.ENSP00000352257	XRCC6	X-ray repair cross-complementing protein 6; Single-stranded DNA-dependent ATP-dependent helicase. Has a role in chromosome translocation. The DNA helicase II complex binds preferentially to fork-like ends of double-stranded DNA in a cell cycle-dependent manner. It works in the 3'-5' direction. Binding to DNA may be mediated by XRCC6. Involved in DNA non-homologous end joining (NHEJ) required for double-strand break repair and V(D)J recombination. The XRCC5/6 dimer acts as regulatory subunit of the DNA-dependent protein kinase complex DNA-PK by increasing the affinity of the catalytic s [...] 
7	P13010	9606.ENSP00000375978	XRCC5	X-ray repair cross-complementing protein 5; Single-stranded DNA-dependent ATP-dependent helicase. Has a role in chromosome translocation. The DNA helicase II complex binds preferentially to fork-like ends of double-stranded DNA in a cell cycle-dependent manner. It works in the 3'-5' direction. Binding to DNA may be mediated by XRCC6. Involved in DNA non-homologous end joining (NHEJ) required for double-strand break repair and V(D)J recombination. The XRCC5/6 dimer acts as regulatory subunit of the DNA-dependent protein kinase complex DNA-PK by increasing the affinity of the catalytic s [...] 
8	P15374	9606.ENSP00000366819	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3; Deubiquitinating enzyme (DUB) that controls levels of cellular ubiquitin through processing of ubiquitin precursors and ubiquitinated proteins. Thiol protease that recognizes and hydrolyzes a peptide bond at the C-terminal glycine of either ubiquitin or NEDD8. Has a 10-fold preference for Arg and Lys at position P3", and exhibits a preference towards 'Lys-48'-linked ubiquitin chains. Deubiquitinates ENAC in apical compartments, thereby regulating apical membrane recycling. Indirectly increases the phosphorylation of IGFIR, AKT and FOXO1 [...] 
9	P18859	9606.ENSP00000389649	ATP5J	ATP synthase-coupling factor 6, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of t [...] 
10	P21281	9606.ENSP00000276390	ATP6V1B2	V-type proton ATPase subunit B, brain isoform; Non-catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells; Belongs to the ATPase alpha/beta chains family
