#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAA2	UCHL3	9606.ENSP00000285093	9606.ENSP00000366819	0	0	0	0	0.057	0.741	0	0	0.745
ACAA2	MDH2	9606.ENSP00000285093	9606.ENSP00000327070	0	0	0	0	0.251	0.142	0	0.698	0.789
ACAA2	DLST	9606.ENSP00000285093	9606.ENSP00000335304	0.046	0	0	0	0.133	0	0.800	0.140	0.838
APOA2	LRP1	9606.ENSP00000356969	9606.ENSP00000243077	0	0	0	0	0	0	0.900	0.162	0.912
ATP5J	ATP6V1A	9606.ENSP00000389649	9606.ENSP00000273398	0	0	0	0	0.077	0	0.720	0.277	0.797
ATP5J	BAG6	9606.ENSP00000389649	9606.ENSP00000365131	0	0	0	0	0	0	0	0.729	0.729
ATP6V1A	ATP5J	9606.ENSP00000273398	9606.ENSP00000389649	0	0	0	0	0.077	0	0.720	0.277	0.797
ATP6V1A	ATP6V1B2	9606.ENSP00000273398	9606.ENSP00000276390	0.219	0	0.448	0.584	0.844	0.985	0.800	0.905	0.999
ATP6V1B2	ATP6V1A	9606.ENSP00000276390	9606.ENSP00000273398	0.219	0	0.448	0.584	0.844	0.985	0.800	0.905	0.999
BAG6	ATP5J	9606.ENSP00000365131	9606.ENSP00000389649	0	0	0	0	0	0	0	0.729	0.729
CALD1	TAGLN	9606.ENSP00000354826	9606.ENSP00000432282	0	0	0	0	0.203	0	0	0.712	0.761
CALD1	TPM3	9606.ENSP00000354826	9606.ENSP00000357516	0	0	0	0	0.065	0	0.600	0.413	0.761
CTNNB1	YWHAG	9606.ENSP00000344456	9606.ENSP00000306330	0	0	0	0	0.085	0.058	0.900	0.230	0.924
CTSD	NUCB1	9606.ENSP00000236671	9606.ENSP00000385923	0	0	0	0	0.693	0	0	0.107	0.714
DLST	OGDH	9606.ENSP00000335304	9606.ENSP00000222673	0.081	0	0.413	0	0.668	0.971	0.900	0.991	0.999
DLST	ACAA2	9606.ENSP00000335304	9606.ENSP00000285093	0.046	0	0	0	0.133	0	0.800	0.140	0.838
DLST	MDH2	9606.ENSP00000335304	9606.ENSP00000327070	0.068	0	0	0	0.522	0.214	0	0.731	0.893
GPX1	PRDX3	9606.ENSP00000407375	9606.ENSP00000298510	0	0	0	0	0.062	0.185	0	0.706	0.756
GPX1	SOD2	9606.ENSP00000407375	9606.ENSP00000446252	0	0	0	0	0.062	0.254	0.900	0.856	0.988
LRP1	SERPINE1	9606.ENSP00000243077	9606.ENSP00000223095	0	0	0	0	0.070	0.283	0.900	0.988	0.999
